     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         2,         0,   0.058,pymatching,ca7366e8fcf19590ddf07573e49fd8f9a6f92caa9e70644ba7383ca3fba3a993,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0037567251461988306,""p"":0.0022,""q"":0.0018783625730994153}"
       100,         2,         0,   0.054,pymatching,06a5a48b1ef9cd65076d94c3b85888a2c78c3707f490f16e58db488abca8483c,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.003927485380116959,""p"":0.0023,""q"":0.0019637426900584796}"
       100,         2,         0,   0.068,pymatching,0aae94c22be2203f4ad00108a9c5d12bc29771df12ae43485b01639a53085198,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.003415204678362573,""p"":0.002,""q"":0.0017076023391812865}"
       100,         0,         0,   0.069,pymatching,e8fb7c04d460e1b55bd7efab33dbe4e6d40b2f7a36804571cabffabae2ef5a67,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0035859649122807016,""p"":0.0021,""q"":0.0017929824561403508}"
       100,         4,         0,   0.058,pymatching,e8bf849930197366a5ef5d9f3ce437bc6cd1167f7143bad591ee0377f4a8ef0a,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.004098245614035088,""p"":0.0024,""q"":0.002049122807017544}"
       100,         4,         0,   0.070,pymatching,73df82a238a0e0513d262cebc0be26e3db1251ab97767f05884845d11b8f2704,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.004439766081871345,""p"":0.0026,""q"":0.0022198830409356726}"
       100,         8,         0,   0.071,pymatching,46e15f1b88ad6cbe6762517f67e236026df09d9cc1a64f6b61cec09abf5a1648,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0042690058479532165,""p"":0.0025,""q"":0.0021345029239766083}"
       100,         3,         0,   0.054,pymatching,cec8d100f36bc67e19c6e0012eb751c007b07a8c624101dc700ddebe01c4be88,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.004610526315789474,""p"":0.0027,""q"":0.002305263157894737}"
       100,         5,         0,   0.055,pymatching,cc7c410b28369dd54aefa577fe5134806bb6cfc2f55cb5d0301b6474993fb1cd,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.004781286549707602,""p"":0.0028,""q"":0.002390643274853801}"
       100,         6,         0,   0.071,pymatching,99e6d5649a91eb8f6cfea83792916bb245433617c08d5b8ee24a638be6e7b9c2,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.004952046783625731,""p"":0.0029,""q"":0.0024760233918128655}"
       200,         5,         0,   0.048,pymatching,0aae94c22be2203f4ad00108a9c5d12bc29771df12ae43485b01639a53085198,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.003415204678362573,""p"":0.002,""q"":0.0017076023391812865}"
       200,         2,         0,   0.049,pymatching,0aae94c22be2203f4ad00108a9c5d12bc29771df12ae43485b01639a53085198,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.003415204678362573,""p"":0.002,""q"":0.0017076023391812865}"
       200,         4,         0,   0.049,pymatching,e8fb7c04d460e1b55bd7efab33dbe4e6d40b2f7a36804571cabffabae2ef5a67,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0035859649122807016,""p"":0.0021,""q"":0.0017929824561403508}"
       100,         4,         0,   0.057,pymatching,e8fb7c04d460e1b55bd7efab33dbe4e6d40b2f7a36804571cabffabae2ef5a67,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0035859649122807016,""p"":0.0021,""q"":0.0017929824561403508}"
       200,         2,         0,   0.060,pymatching,ca7366e8fcf19590ddf07573e49fd8f9a6f92caa9e70644ba7383ca3fba3a993,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0037567251461988306,""p"":0.0022,""q"":0.0018783625730994153}"
       200,         4,         0,   0.061,pymatching,e8fb7c04d460e1b55bd7efab33dbe4e6d40b2f7a36804571cabffabae2ef5a67,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0035859649122807016,""p"":0.0021,""q"":0.0017929824561403508}"
       100,         2,         0,   0.061,pymatching,0aae94c22be2203f4ad00108a9c5d12bc29771df12ae43485b01639a53085198,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.003415204678362573,""p"":0.002,""q"":0.0017076023391812865}"
       200,         1,         0,   0.065,pymatching,ca7366e8fcf19590ddf07573e49fd8f9a6f92caa9e70644ba7383ca3fba3a993,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0037567251461988306,""p"":0.0022,""q"":0.0018783625730994153}"
       200,        10,         0,   0.055,pymatching,06a5a48b1ef9cd65076d94c3b85888a2c78c3707f490f16e58db488abca8483c,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.003927485380116959,""p"":0.0023,""q"":0.0019637426900584796}"
       100,         3,         0,   0.058,pymatching,ca7366e8fcf19590ddf07573e49fd8f9a6f92caa9e70644ba7383ca3fba3a993,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0037567251461988306,""p"":0.0022,""q"":0.0018783625730994153}"
       200,         3,         0,   0.060,pymatching,e8fb7c04d460e1b55bd7efab33dbe4e6d40b2f7a36804571cabffabae2ef5a67,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0035859649122807016,""p"":0.0021,""q"":0.0017929824561403508}"
       600,         7,         0,   0.068,pymatching,0aae94c22be2203f4ad00108a9c5d12bc29771df12ae43485b01639a53085198,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.003415204678362573,""p"":0.002,""q"":0.0017076023391812865}"
       600,         5,         0,   0.068,pymatching,0aae94c22be2203f4ad00108a9c5d12bc29771df12ae43485b01639a53085198,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.003415204678362573,""p"":0.002,""q"":0.0017076023391812865}"
       800,        11,         0,   0.094,pymatching,0aae94c22be2203f4ad00108a9c5d12bc29771df12ae43485b01639a53085198,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.003415204678362573,""p"":0.002,""q"":0.0017076023391812865}"
       800,        15,         0,   0.100,pymatching,e8fb7c04d460e1b55bd7efab33dbe4e6d40b2f7a36804571cabffabae2ef5a67,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0035859649122807016,""p"":0.0021,""q"":0.0017929824561403508}"
       800,         9,         0,   0.100,pymatching,e8fb7c04d460e1b55bd7efab33dbe4e6d40b2f7a36804571cabffabae2ef5a67,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0035859649122807016,""p"":0.0021,""q"":0.0017929824561403508}"
      1000,        11,         0,   0.104,pymatching,0aae94c22be2203f4ad00108a9c5d12bc29771df12ae43485b01639a53085198,"{""bias"":2,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.003415204678362573,""p"":0.002,""q"":0.0017076023391812865}"
