     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
    112854,     10285,         0,    30.3,pymatching,9149f944c6af3b64c1ae7cb438bf3f72a4888ee38ae25c63f466c74161696c54,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0042,""p"":0.0042,""q"":0.0042}"
     93707,     10004,         0,    27.4,pymatching,95d2cdc368a7590563ac4485a4ecd6a6aaeed79a9aaa23498e3d69d79e1f0d6e,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0044,""p"":0.0044,""q"":0.0044}"
    123529,     10156,         0,    32.4,pymatching,484f260ae8b31e449eebd5ed451b71649d3094a40b641ef5550a40e921cd3568,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0041,""p"":0.0041,""q"":0.0041}"
    102688,     10003,         0,    29.0,pymatching,62021872449709752ace4f0da8a13933c3ce0001947b4b465b9b927b6f77d451,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0043,""p"":0.0043,""q"":0.0043}"
     63411,     10090,         0,    23.4,pymatching,573af5d0328938f8974e2ce0c32203c05f947d18ed80493af35f8bbd38cecf7a,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0049,""p"":0.0049,""q"":0.0049}"
     86590,     10091,         0,    26.2,pymatching,9649ba4ca9c97f2035545ab249e994592ef063ddaae995d184a87677895685dc,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0045,""p"":0.0045,""q"":0.0045}"
     68619,     10005,         0,    24.1,pymatching,a70e1934bf5c30e581e8c3133bd4856011387deeec68df763711841ce7167d2e,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0048,""p"":0.0048,""q"":0.0048}"
     79518,     10018,         0,    25.2,pymatching,afb571d69ca0397ac79dbfda29eecd28be2ba287c8576956407c3b702b6908d5,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0046,""p"":0.0046,""q"":0.0046}"
     72334,     10005,         0,    24.3,pymatching,a0b2efe069fc8e19568fbaf0ed500f6ecb1ba3fdd6bf6d52be4280400b02a011,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0047,""p"":0.0047,""q"":0.0047}"
    140350,     10169,         0,    34.4,pymatching,88426149f13eee30205a69fa7bf54362d9485016a3322d9d961e80e140bc980b,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.004,""p"":0.004,""q"":0.004}"
     60534,     10110,         0,    23.4,pymatching,3a2c354a2795cd6e5219ecfc8ff70862cf2e59ac1ed4ee2079dfc853cbbbe2fe,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.005000000000000001,""p"":0.005,""q"":0.005000000000000001}"
     57827,     10157,         0,    22.5,pymatching,c8a02ee3109690f42c8390c06875c3d4a9e8806333897289d5e8acac0d4292b1,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0051,""p"":0.0051,""q"":0.0051}"
     53091,     10141,         0,    21.7,pymatching,637d30f0b9c07b9e1e2ba38cd103f0738a276d6a930c12db5212ec3d94d3bd8c,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0052,""p"":0.0052,""q"":0.0052}"
     51035,     10199,         0,    21.3,pymatching,5da027ae0f602c3122fd8d51f996881053f7bac5e7076647f58764f662dcb9b9,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0053,""p"":0.0053,""q"":0.0053}"
     46789,     10010,         0,    21.3,pymatching,6e2122fd08461fc127f609c769a247a72b5e63a6a154c17fb1d2e42adb7cf7cb,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0054,""p"":0.0054,""q"":0.0054}"
     45554,     10116,         0,    20.9,pymatching,f154a691d42c6f4c393dfc9071abce5143f13399f7fb40bcdd6987d6809d5af6,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.0055000000000000005,""p"":0.0055,""q"":0.0055000000000000005}"
    207747,     10449,         0,   223.7,pymatching,3fabe06819f90d9bc77478eeadd0f874da0ad65a12e03fd3229cf07ac405c98c,"{""bias"":1,""code"":""FloquetColourCode"",""distance"":12,""layers"":24,""m"":0.004,""p"":0.004,""q"":0.004}"
