     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
   1000000,      4620,         0,    28.3,pymatching,61e4f522966c450d4e544e36fb03e6274726a96f9d1b5f604513f2aa61f43022,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.004366355140186916,""p"":0.0012,""q"":0.0005457943925233645}"
   1000000,      6796,         0,    33.7,pymatching,22ebd5f1a496961cd96dc9e842a24e3274c926e530e92ef05a4a7b3bd353f3a6,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.004730218068535826,""p"":0.0013,""q"":0.0005912772585669782}"
    621270,     10167,         0,    27.7,pymatching,a7831ae85eed510fb2dff9b3f1c747e76dc27f675b525a4aebb83513770b39a4,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.005821806853582554,""p"":0.0016,""q"":0.0007277258566978193}"
    467052,     10002,         0,    20.3,pymatching,df69a74caa786afd8b2cc6260750997d022811482f8b0eb1586df9b3fea38449,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0061856697819314636,""p"":0.0017,""q"":0.0007732087227414329}"
    816916,     10123,         0,    29.7,pymatching,396068ee43738f79371ad6ea0f691238209ddb029d718dab1335c0c7c720f20c,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.005457943925233645,""p"":0.0015,""q"":0.0006822429906542056}"
    286106,     10038,         0,    16.6,pymatching,a009a1f307e84f556b5cf0f2ff3d2cd6a216bfbe409a89ff97bd740b4418d126,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.006913395638629283,""p"":0.0019,""q"":0.0008641744548286604}"
    360797,     10042,         0,    17.1,pymatching,b329386f25d091cdce7dbd01a84a24f5bc978226d8ae94c75b737a4774fc3ec5,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.006549532710280374,""p"":0.0018,""q"":0.0008186915887850467}"
    194192,     10094,         0,    11.9,pymatching,58f88b7589eb8e4c32117bf3e08f71d417ff58ed0b62c79a0de55e84c632a020,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.007641121495327102,""p"":0.0021,""q"":0.0009551401869158878}"
    243828,     10306,         0,    13.7,pymatching,1482d2239824af333658660d5ea7b6e1548a37924b97b9f73d54dc00f814bf17,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.0072772585669781936,""p"":0.002,""q"":0.0009096573208722742}"
   1000000,      9396,         0,    33.6,pymatching,d8784435ee853c055c90a7bc8658daf1bccc10efce64a042f5da84b3d5153919,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.005094080996884735,""p"":0.0014,""q"":0.0006367601246105919}"
    158258,     10004,         0,    10.9,pymatching,9beef7d1a1cb314e884cd73269c3d6057aaa0c39739ae1c34f64265029ed20ed,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.008004984423676012,""p"":0.0022,""q"":0.0010006230529595015}"
    140379,     10415,         0,    11.3,pymatching,8c9b3e837dd0c5aa3617ea00133d1d0476ab4d36219b18c6ac9e6344a68839cf,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.008368847352024924,""p"":0.0023,""q"":0.0010461059190031154}"
    114809,     10047,         0,    8.88,pymatching,ed59e3620d990c9c44128707180e6aa71e257680aef9259547f6b88c5e13012c,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.008732710280373833,""p"":0.0024,""q"":0.0010915887850467291}"
    100312,     10133,         0,    8.43,pymatching,4daafdf65ac9dbbe59be3dc1953294df0a133c8a576d3876ac1f643424d06e94,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.00909657320872274,""p"":0.0025,""q"":0.0011370716510903426}"
     85631,     10010,         0,    7.73,pymatching,7ec118defc7ff0d416524524ab7b3b3fba12239a681653f55c79c6d304f0411d,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.009460436137071652,""p"":0.0026,""q"":0.0011825545171339565}"
     76877,     10064,         0,    8.66,pymatching,0b001237cfa30d3c4f2e4e73b340ca9fe1b9e9aae87212e439eb037a1c3005b3,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.009824299065420561,""p"":0.0027,""q"":0.0012280373831775702}"
     67138,     10023,         0,    6.90,pymatching,8375c4074faca9802e5f811e8c682793c910d3e04b3bef7dab2732468a9c80fe,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.01018816199376947,""p"":0.0028,""q"":0.0012735202492211838}"
     62244,     10160,         0,    6.98,pymatching,7bd101ee2471b94e07cb9191dda78a8166a83b09b87061e86a37d1efb9646b00,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.01055202492211838,""p"":0.0029,""q"":0.0013190031152647975}"
     53798,     10000,         0,    6.52,pymatching,f3d310d76affcf1e31d0fa5c35db787ce229d6779be00739d33d3ad45a5d5ede,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.01091588785046729,""p"":0.003,""q"":0.0013644859813084112}"
     50400,     10064,         0,    6.56,pymatching,85ec2553838b3ce5cb77c6feb71e5b3ff49007b426096f3d20c150e0392ec991,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.011279750778816199,""p"":0.0031,""q"":0.0014099688473520249}"
     45591,     10026,         0,    6.00,pymatching,8329cead66f2f2c68e0173b9a7ab56e89eb7d0fe99cc03201e6ae5fd4ab6398d,"{""bias"":8,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.011643613707165108,""p"":0.0032,""q"":0.0014554517133956385}"
   1000000,       933,         0,   112.2,pymatching,028ddfc0dc544a7236a3e63e5b0fdfeb245120893bdb2d14bd70932191470a6c,"{""bias"":8,""code"":""Honeycomb"",""distance"":12,""layers"":24,""m"":0.004387421383647798,""p"":0.0012,""q"":0.0005484276729559748}"
   1000000,      1689,         0,   116.5,pymatching,0c0f38a3dbd8c227a6ec7b2bd03c81e695b5babde877347d7e5b9e1e5086a007,"{""bias"":8,""code"":""Honeycomb"",""distance"":12,""layers"":24,""m"":0.0047530398322851155,""p"":0.0013,""q"":0.0005941299790356394}"
   1000000,      2725,         0,   131.7,pymatching,d7f2640bef4964660ad72ab65f4df0689594304b86b7ac8ef30c9810f8a18a53,"{""bias"":8,""code"":""Honeycomb"",""distance"":12,""layers"":24,""m"":0.005118658280922431,""p"":0.0014,""q"":0.0006398322851153039}"
   1000000,      4580,         0,   147.4,pymatching,e89872eb2f2027182330be5919bfaada67bc508b2e01b8d2801d686e7af06b5c,"{""bias"":8,""code"":""Honeycomb"",""distance"":12,""layers"":24,""m"":0.005484276729559749,""p"":0.0015,""q"":0.0006855345911949686}"
   1000000,      7074,         0,   162.6,pymatching,30b7993629902b4fa6f0e88e35006181d54e56b7a510573605990d4dc73f7a3e,"{""bias"":8,""code"":""Honeycomb"",""distance"":12,""layers"":24,""m"":0.005849895178197064,""p"":0.0016,""q"":0.000731236897274633}"
    917581,     10023,         0,   160.5,pymatching,5797523e7905aaa1c75ec8a235a6e9eeb2b85b248afcece6b7ca5ee6f7e16b4d,"{""bias"":8,""code"":""Honeycomb"",""distance"":12,""layers"":24,""m"":0.006215513626834381,""p"":0.0017,""q"":0.0007769392033542976}"
    642619,     10037,         0,   137.8,pymatching,5f86821c2809ba145451cce68f2c377747a8134429caed7d1dafabf1324b9964,"{""bias"":8,""code"":""Honeycomb"",""distance"":12,""layers"":24,""m"":0.006581132075471697,""p"":0.0018,""q"":0.0008226415094339622}"
    441724,     10044,         0,    95.0,pymatching,34af4db343f9141e3f192692c27e0c7541186d4b8b05876dccc3d7a6808e50f6,"{""bias"":8,""code"":""Honeycomb"",""distance"":12,""layers"":24,""m"":0.006946750524109014,""p"":0.0019,""q"":0.0008683438155136267}"
    318466,     10073,         0,    84.5,pymatching,f508db2abcdb31f7c27b85f38c48f0d9a1c44bb5045b6ad61c5f415932166f90,"{""bias"":8,""code"":""Honeycomb"",""distance"":12,""layers"":24,""m"":0.007312368972746331,""p"":0.002,""q"":0.0009140461215932914}"
