     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
     73496,     10190,         0,    12.2,pymatching,1925553772497557f419741f247bebd377bf4695b8b76604781689103d89f898,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.019647141848976712,""p"":0.004,""q"":0.0008186309103740296}"
     64103,     10038,         0,    14.8,pymatching,c6b162a2263acdf7c016f432396ac2edf11b7295f81c59bc1c1f94daeae44908,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.020383909668313337,""p"":0.00415,""q"":0.0008493295695130558}"
     58980,     10132,         0,    11.2,pymatching,07ec8cf2f905af630f753693cbbb9b9865341bcabfb3f23c093155b37539589b,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.020875088214537756,""p"":0.00425,""q"":0.0008697953422724065}"
     60553,     10013,         0,    11.0,pymatching,c9b74e6600bd1a81935b549e092b7034d292d71c3c0d51673e63b4efd1c94847,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.020629498941425548,""p"":0.0042,""q"":0.0008595624558927311}"
     70235,     10010,         0,    13.2,pymatching,ce5a17230e459686146a144c68760de02c84734c8526bbe3e7d00b8ad907eb14,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.01989273112208892,""p"":0.00405,""q"":0.000828863796753705}"
     56407,     10003,         0,    11.3,pymatching,278bb7bc205eeddca5738c17e00ae616ec574bcc2ce45aaf597f7be81d9ade3d,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.021120677487649966,""p"":0.0043,""q"":0.0008800282286520819}"
     54000,     10131,         0,    11.7,pymatching,33bf16d34455e21db8b617feb8a6caffa789edbfe0f6f1d8bff7a9a0e50a19c2,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.02136626676076217,""p"":0.00435,""q"":0.0008902611150317572}"
     66158,     10108,         0,    11.5,pymatching,c860f734be4b6796fed1fcc06efe063d0427e16db5d365a73e77a4fa6a36ceb5,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.02013832039520113,""p"":0.0041,""q"":0.0008390966831333804}"
     49759,     10015,         0,    16.9,pymatching,15453287759620de1d4ccc4e118dfae29864e883b480f188e2f5c50127d056b2,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.021857445306986592,""p"":0.00445,""q"":0.000910726887791108}"
     52093,     10010,         0,    13.7,pymatching,fc3180f04a91e56ad7420e87ddf51f245edcb7ed97e3b31b3a9a1581fbae4858,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.021611856033874385,""p"":0.0044,""q"":0.0009004940014114327}"
     49112,     10134,         0,    18.2,pymatching,05b6b5942f4fbbfc684106caedc78cd6004020d7d2bdcf3e6bfb2dd73ebd51c0,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.022103034580098796,""p"":0.0045,""q"":0.0009209597741707832}"
     47462,     10142,         0,    19.4,pymatching,5351a93dc9891b369d181f1d321e0187826473359e2f96cab1cd86026fd3c60e,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.02234862385321101,""p"":0.00455,""q"":0.0009311926605504588}"
     42909,     10102,         0,    19.8,pymatching,25fa8135cb9eb4e4aace725365fa74ef4969e786138f278db394ff685efc4aa1,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.02308539167254764,""p"":0.0047,""q"":0.0009618913196894849}"
     45965,     10209,         0,    20.9,pymatching,1036876c65e6b99ebd209c1376a4df163c023d994974045297591436d9f26293,"{""bias"":24,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.022594213126323218,""p"":0.0046,""q"":0.0009414255469301341}"
