     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
    288960,     10008,         0,    31.4,pymatching,ea2f21273f852ebf271919e239258b0cb26b0e6a34a9ff2ed3cd0a77d4043976,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.005813574660633484,""p"":0.0022,""q"":0.001453393665158371}"
    349400,     10031,         0,    35.4,pymatching,0f3e6a67ad065219e2ffa0b7d67d5d55f56d1f2c9e60f1e0c0fba1539f2dde99,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.005549321266968325,""p"":0.0021,""q"":0.0013873303167420813}"
    242635,     10022,         0,    28.2,pymatching,e99255972a0e4f498aa793255a6672fe5329023778349d556ce41b386455bd48,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.006077828054298643,""p"":0.0023,""q"":0.0015194570135746608}"
    448272,     10082,         0,    41.9,pymatching,bd39372d0f4480acdf5ab9f8241d92cc768d75dae192c7e661a36e3a39b81e9d,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.005285067873303168,""p"":0.002,""q"":0.001321266968325792}"
    174822,     10116,         0,    23.5,pymatching,60a7f0d3e00b72c4b848fe2baece09645f5956a202290807b5c4098a372c0992,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.006606334841628959,""p"":0.0025,""q"":0.0016515837104072398}"
    115793,     10367,         0,    18.9,pymatching,2217d25e420c333eda3b49543a0e062054d6a5de9d45d5e2a436966357594ba3,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.007399095022624434,""p"":0.0028,""q"":0.0018497737556561085}"
    206994,     10096,         0,    26.1,pymatching,13d1e4d5fad0fd7190890fa0c334c1850e27566f71183a32a9cc55cbd2bde370,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.006342081447963802,""p"":0.0024,""q"":0.0015855203619909504}"
    152306,     10104,         0,    21.9,pymatching,3931886fa068c8b858a83bbd35227cc7d9fdfde78d1627d16bd56dc17536c14f,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.006870588235294118,""p"":0.0026,""q"":0.0017176470588235295}"
     98459,     10002,         0,    17.2,pymatching,addbbe8fccb1b3286605adce5eef08f5efd631219899df995e3b9c99dd10ebce,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.007663348416289593,""p"":0.0029,""q"":0.0019158371040723981}"
    129150,     10009,         0,    19.6,pymatching,8555dab88364af3bc705f17940ac4ca28ed16c9e05b1f5df5d2d7e44dc4ccaaa,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.007134841628959276,""p"":0.0027,""q"":0.001783710407239819}"
     87628,     10046,         0,    16.3,pymatching,d8fe256f54825f5f443136ca8720e653e9e13ee045c80443b6d58c095c9bddcf,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.007927601809954752,""p"":0.003,""q"":0.001981900452488688}"
     79053,     10002,         0,    15.5,pymatching,51484b24a3a03b6a60e3d6bd07fb85a3474cec43df8eedfe7194cc3681900690,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.00819185520361991,""p"":0.0031,""q"":0.0020479638009049776}"
     72999,     10239,         0,    15.0,pymatching,a6114a8de1e937e38d58f6461b94de549523dfeacf276e68063a6f472e5bccce,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.008456108597285067,""p"":0.0032,""q"":0.002114027149321267}"
     64059,     10039,         0,    13.9,pymatching,366d74b0d5525c9204b95a160a294e8aaf837c20bbf116d394a8c5b61ac0f182,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.008720361990950226,""p"":0.0033,""q"":0.0021800904977375564}"
     58388,     10078,         0,    13.5,pymatching,f4c361cc7976f52bcc8f8144ede885c875a6c201215f8179b61af57bc2478991,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.008984615384615384,""p"":0.0034,""q"":0.002246153846153846}"
     54036,     10005,         0,    12.9,pymatching,b81626778419334962bded5a981e6cd91348a6771b5e861f67503f9e47a50046,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.009248868778280545,""p"":0.0035,""q"":0.002312217194570136}"
     49722,     10129,         0,    12.6,pymatching,2ab1ee9f0f7f436886464fedb6920e676c3b7e5a5474ec70e392de11805cf5f9,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.009513122171945701,""p"":0.0036,""q"":0.0023782805429864253}"
     45666,     10022,         0,    12.2,pymatching,828881a9c997097f1f0a35dc5170536e46ef9dec8f4595c9d37b93e335e3035e,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.00977737556561086,""p"":0.0037,""q"":0.002444343891402715}"
     42750,     10039,         0,    12.3,pymatching,ded5eb00244a3f0025b5e888b505e6aaf97a5f9c9de999e4d50b94d25468e1f5,"{""bias"":4,""code"":""Honeycomb"",""distance"":8,""layers"":16,""m"":0.010041628959276018,""p"":0.0038,""q"":0.0025104072398190046}"
