     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
     65282,     10095,         0,    24.1,pymatching,c43683fd4ae9abf1fe915bab90c4dd1ab744198c4189997826a5bb5e821407a7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.022808409831211133,""p"":0.00415,""q"":0.00035638140361267395}"
     72026,     10216,         0,    25.1,pymatching,2a4cb9a57bd61df7fd4bf12ec2f494999cae63a2aebb3406b6d18f363426fd88,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.02225880959431448,""p"":0.00405,""q"":0.00034779389991116376}"
     77252,     10316,         0,    26.5,pymatching,076804863968b00989f67c42a77f6064992e02af3964cd7dde337cb45be9c5b7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.021984009475866154,""p"":0.004,""q"":0.00034350014806040866}"
     68558,     10145,         0,    24.7,pymatching,52d2c95cae3007d12d2fdd38edcefadc213112c297abf745a31af90ba6ccf35d,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.022533609712762807,""p"":0.0041,""q"":0.00035208765176191885}"
     62932,     10002,         0,    23.9,pymatching,54c5beb409c6d80a186046115cd976fea49c1a92d5d25d6a181f04e604449e70,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.02308320994965946,""p"":0.0042,""q"":0.00036067515546342905}"
     55996,     10096,         0,    22.4,pymatching,5a6657ac846ec412ad0c36f5ce5ab7578b45e14a0f49286277c20da44b1eeeb6,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.023632810186556115,""p"":0.0043,""q"":0.0003692626591649393}"
     56287,     10164,         0,    23.1,pymatching,daebae16ed1b0952be5e2fceb5d570dfc58210490e24a752d4c216aab8a34e83,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.023907610305004438,""p"":0.00435,""q"":0.00037355641101569434}"
     61179,     10070,         0,    23.8,pymatching,e3c08e417982d16e024710b9eabbf9496021ff8ca80f973f4a131c61ad905cc6,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.02335801006810779,""p"":0.00425,""q"":0.0003649689073141842}"
     52516,     10064,         0,    21.9,pymatching,731170392aff3e288057375cc26f9bdf785bcc2f8a27f733a35f7933e6f9064f,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.02418241042345277,""p"":0.0044,""q"":0.00037785016286644954}"
     51328,     10004,         0,    22.1,pymatching,dc32c791beb1f64063c46be5a77116d9836edb4e9e7ef0a295fc8f249da827f1,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""layers"":16,""m"":0.024457210541901097,""p"":0.00445,""q"":0.00038214391471720464}"
