     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         3,         0,   0.033,pymatching,e54799bde9d140845f8d9937a5b01f46e5b52382caf1660014450b4cf8ef94e4,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":8,""noise_model"":""EM3"",""per"":0.005}",
       100,         2,         0,   0.001,pymatching,4088eb59c324524755badba770882ca13a4b0994a7bba9360edc64e9880c1f5b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":8,""noise_model"":""EM3"",""per"":0.005}",
       100,        13,         0,   0.001,pymatching,fe36cbd035a60c69c3ac6514cd997e746d29d6fb0daf9e3635360071e5701541,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_z"",""n_rounds"":8,""noise_model"":""EM3"",""per"":0.005}",
       100,        11,         0,   0.001,pymatching,04c06c7df48c2dbdfd6f0189ae63f5ee9e969e4046017afe08a4392837925f8a,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_x"",""n_rounds"":7,""noise_model"":""EM3"",""per"":0.005}",
       100,         1,         0,   0.001,pymatching,efc2156a949aa1417dafe9a8bb2ac6914c8ea8ffa1a888fa3bb29e9b0337b4a9,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":10,""noise_model"":""EM3"",""per"":0.005}",
       100,         1,         0,   0.002,pymatching,785f48bcbc17a4fc10b71d5d2c58b789b3398515043b7427d9241160f97f7995,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":10,""noise_model"":""EM3"",""per"":0.005}",
       100,        16,         0,   0.001,pymatching,caacc995f0f89958d922f9a0816c32889e53aa67765b3739db546d7ea4438245,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""stability_z"",""n_rounds"":9,""noise_model"":""EM3"",""per"":0.005}",
       100,        17,         0,   0.001,pymatching,414d6c7c6537033658ff6e4f6b10f3df6e55d9e66ab72048aced2ab71a22e70b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""stability_x"",""n_rounds"":10,""noise_model"":""EM3"",""per"":0.005}",
       100,         9,         0,   0.002,pymatching,9e7d59fb6006de937df110c6ebf86eb3864a6d63be642660b1b0e011107f20f0,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":3,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":13,""noise_model"":""EM3"",""per"":0.005}",
       200,         5,         0,   0.001,pymatching,4088eb59c324524755badba770882ca13a4b0994a7bba9360edc64e9880c1f5b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":8,""noise_model"":""EM3"",""per"":0.005}",
       200,         2,         0,   0.001,pymatching,4088eb59c324524755badba770882ca13a4b0994a7bba9360edc64e9880c1f5b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":8,""noise_model"":""EM3"",""per"":0.005}",
       100,         1,         0,   0.001,pymatching,4088eb59c324524755badba770882ca13a4b0994a7bba9360edc64e9880c1f5b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":8,""noise_model"":""EM3"",""per"":0.005}",
       200,        21,         0,   0.001,pymatching,04c06c7df48c2dbdfd6f0189ae63f5ee9e969e4046017afe08a4392837925f8a,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_x"",""n_rounds"":7,""noise_model"":""EM3"",""per"":0.005}",
       200,        27,         0,   0.001,pymatching,04c06c7df48c2dbdfd6f0189ae63f5ee9e969e4046017afe08a4392837925f8a,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_x"",""n_rounds"":7,""noise_model"":""EM3"",""per"":0.005}",
       100,        12,         0,   0.001,pymatching,04c06c7df48c2dbdfd6f0189ae63f5ee9e969e4046017afe08a4392837925f8a,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_x"",""n_rounds"":7,""noise_model"":""EM3"",""per"":0.005}",
       600,        10,         0,   0.001,pymatching,4088eb59c324524755badba770882ca13a4b0994a7bba9360edc64e9880c1f5b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":8,""noise_model"":""EM3"",""per"":0.005}",
      1000,        17,         0,   0.001,pymatching,4088eb59c324524755badba770882ca13a4b0994a7bba9360edc64e9880c1f5b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":8,""noise_model"":""EM3"",""per"":0.005}",
      1200,        19,         0,   0.003,pymatching,4088eb59c324524755badba770882ca13a4b0994a7bba9360edc64e9880c1f5b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":8,""noise_model"":""EM3"",""per"":0.005}",
       100,         1,         0,   0.002,pymatching,b10de7c279e5617ed1aeab200e2eb2e708e16cd2536a63b3f2167caf05b77bf3,"{""code_name"":""GaugeFloquetColourCode"",""distance"":2,""gf_0"":1,""gf_1"":3,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":13,""noise_model"":""EM3"",""per"":0.005}",
