     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         0,         0,   0.072,pymatching,a23fd6dc30c344cef6bfe1bb65547f6efb9f28fa986ec6c8e3d7b417d405c399,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.0005}",
       100,         0,         0,   0.099,pymatching,330c86489ea51205e4c5711fcfc53b474f949af6f5a9494fb0bcc5c7f4f16f16,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_x"",""n_rounds"":47,""noise_model"":""SI1000"",""per"":0.0005}",
       100,         0,         0,   0.107,pymatching,3416ddd26f914effe876bb67531c385adf847ad19108f1c9c79dab2407aafb9b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.0005}",
       100,         0,         0,   0.071,pymatching,ace209c6d480841995189e1c33b56c6c46b1291be1b3a4456676e6edf3ebcb1e,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""stability_z"",""n_rounds"":38,""noise_model"":""SI1000"",""per"":0.0005}",
       100,         1,         0,   0.082,pymatching,5eff757e767df0c6471a8a2e57cf7ce798244f58227dee6c730b139cbe16024f,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_z"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.0005}",
       100,         1,         0,   0.089,pymatching,a23fd6dc30c344cef6bfe1bb65547f6efb9f28fa986ec6c8e3d7b417d405c399,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.0005}",
       200,         1,         0,   0.099,pymatching,a23fd6dc30c344cef6bfe1bb65547f6efb9f28fa986ec6c8e3d7b417d405c399,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.0005}",
       200,         1,         0,   0.112,pymatching,a23fd6dc30c344cef6bfe1bb65547f6efb9f28fa986ec6c8e3d7b417d405c399,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.0005}",
       200,         2,         0,   0.092,pymatching,3416ddd26f914effe876bb67531c385adf847ad19108f1c9c79dab2407aafb9b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.0005}",
       200,         1,         0,   0.084,pymatching,330c86489ea51205e4c5711fcfc53b474f949af6f5a9494fb0bcc5c7f4f16f16,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_x"",""n_rounds"":47,""noise_model"":""SI1000"",""per"":0.0005}",
