     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         0,         0,   0.021,beliefmatching,11e2a11b78616cc129c90e18ef86f84951ca625da398761300c3ad182a7aed0e,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""stability_z"",""n_rounds"":14,""noise_model"":""EM3"",""per"":0.005}",
       100,         2,         0,   0.024,beliefmatching,7d4364fe827923cfe1ee5886913c07a8a0d54076133586d7b442209deb5f058f,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":22,""noise_model"":""EM3"",""per"":0.005}",
       100,         3,         0,   0.039,beliefmatching,92ba5bd218f8a7bf7f205945ec0c77217daaac064fe40f751ddf808eb9c3b745,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":16,""noise_model"":""EM3"",""per"":0.005}",
       100,         0,         0,   0.042,beliefmatching,f156313c77dc00fb69b818635369a2b0a91caa5f95e615b0e07e9b2ef040a00b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_x"",""n_rounds"":15,""noise_model"":""EM3"",""per"":0.005}",
       100,         4,         0,   0.045,beliefmatching,f5413df940a8edfbc3dbfee2a49c365c1fc9549165b667a3ba7dcc93b49f3dd2,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":16,""noise_model"":""EM3"",""per"":0.005}",
       100,         3,         0,   0.036,beliefmatching,d3f5cb13860c8888ec3d412015c69d461d926aca06a265bee5695c1410da0373,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":22,""noise_model"":""EM3"",""per"":0.005}",
       100,         1,         0,   0.035,beliefmatching,f1fb8aad4af7f9cc8102e42a9afa458d64a8e6ddc14e1307d077fc4d480efd42,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""stability_x"",""n_rounds"":22,""noise_model"":""EM3"",""per"":0.005}",
       100,         1,         0,   0.044,beliefmatching,f7c77edba73d931283f55d65896a35929e28b1177233e6ed02bb89cdd6a30ce8,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_z"",""n_rounds"":16,""noise_model"":""EM3"",""per"":0.005}",
        28,         1,         0,   0.019,beliefmatching,92ba5bd218f8a7bf7f205945ec0c77217daaac064fe40f751ddf808eb9c3b745,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":16,""noise_model"":""EM3"",""per"":0.005}",
       100,         3,         0,   0.050,beliefmatching,10a7ca2cc799b9fbf121beacc2b4c9ecae96832f92fc90a713b098b81532d4f6,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":3,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":29,""noise_model"":""EM3"",""per"":0.005}",
       200,         1,         0,   0.040,beliefmatching,11e2a11b78616cc129c90e18ef86f84951ca625da398761300c3ad182a7aed0e,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""stability_z"",""n_rounds"":14,""noise_model"":""EM3"",""per"":0.005}",
         7,         0,         0,   0.009,beliefmatching,92ba5bd218f8a7bf7f205945ec0c77217daaac064fe40f751ddf808eb9c3b745,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":16,""noise_model"":""EM3"",""per"":0.005}",
       100,         1,         0,   0.031,beliefmatching,f156313c77dc00fb69b818635369a2b0a91caa5f95e615b0e07e9b2ef040a00b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_x"",""n_rounds"":15,""noise_model"":""EM3"",""per"":0.005}",
       200,         8,         0,   0.043,beliefmatching,7d4364fe827923cfe1ee5886913c07a8a0d54076133586d7b442209deb5f058f,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":22,""noise_model"":""EM3"",""per"":0.005}",
       200,         5,         0,   0.042,beliefmatching,f156313c77dc00fb69b818635369a2b0a91caa5f95e615b0e07e9b2ef040a00b,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_x"",""n_rounds"":15,""noise_model"":""EM3"",""per"":0.005}",
        18,         0,         0,   0.011,beliefmatching,92ba5bd218f8a7bf7f205945ec0c77217daaac064fe40f751ddf808eb9c3b745,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":16,""noise_model"":""EM3"",""per"":0.005}",
       162,         5,         0,   0.045,beliefmatching,f5413df940a8edfbc3dbfee2a49c365c1fc9549165b667a3ba7dcc93b49f3dd2,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":16,""noise_model"":""EM3"",""per"":0.005}",
