     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         7,         0,   0.541,pymatching,f48f4c0274d0ec16b1c0280d917702965e9bd2e44064ec7d025b209ad9954f26,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""stability_z"",""n_rounds"":38,""noise_model"":""SI1000"",""per"":0.00075}",
       100,         3,         0,   0.570,pymatching,2ef8b1e519956bd26a2fb1dc7b6dcaa3bf3479a8deb40945fe8af178214e246d,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.00075}",
       100,         6,         0,   0.588,pymatching,5493774687722aeda4908a6ae24ddeaab8f0f7cf50460adc7ee6ad8dc40f6209,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_x"",""n_rounds"":47,""noise_model"":""SI1000"",""per"":0.00075}",
       100,        10,         0,   0.640,pymatching,2657677ad84773e7417aebe72624e1945fc189f7e11962a01e0c7e9f9ed317ea,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""stability_z"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.00075}",
       100,         2,         0,   0.709,pymatching,c182237f7ee1614e8fd3d3d96fc53b3819d6507750b4d0c9362716443c38f1d7,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.00075}",
       200,        12,         0,   0.293,pymatching,f48f4c0274d0ec16b1c0280d917702965e9bd2e44064ec7d025b209ad9954f26,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""stability_z"",""n_rounds"":38,""noise_model"":""SI1000"",""per"":0.00075}",
       200,         5,         0,   0.254,pymatching,2ef8b1e519956bd26a2fb1dc7b6dcaa3bf3479a8deb40945fe8af178214e246d,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.00075}",
       100,         7,         0,   0.164,pymatching,2ef8b1e519956bd26a2fb1dc7b6dcaa3bf3479a8deb40945fe8af178214e246d,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.00075}",
       200,        10,         0,   0.198,pymatching,2ef8b1e519956bd26a2fb1dc7b6dcaa3bf3479a8deb40945fe8af178214e246d,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_z"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.00075}",
       100,        25,         0,   0.665,pymatching,1cd991cd89f2e2a3ce66fa069a8646b7f7e3e797a5d4d8802c151f169e58b1b2,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":2,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":70,""noise_model"":""SI1000"",""per"":0.00075}",
       200,        11,         0,   0.441,pymatching,c182237f7ee1614e8fd3d3d96fc53b3819d6507750b4d0c9362716443c38f1d7,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""logical_observable"":""memory_x"",""n_rounds"":48,""noise_model"":""SI1000"",""per"":0.00075}",
