     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,        24,         0,   0.049,pymatching,1f306072929fcc2bd0adec9ce2a6e577b1fad0b3221ab802fbead672a5758bc0,"{""bias"":16,""code"":""Honeycomb"",""distance"":8,""m"":0.013914885167780791,""p"":0.0031034483,""q"":0.0008696803229862994,""time"":""20221111_231530""}"
       100,        19,         0,   0.049,pymatching,c608553c1ab177034f64356ecc65de9690cefc9163e1b0c2fc0308f0c5033311,"{""bias"":16,""code"":""Honeycomb"",""distance"":8,""m"":0.013451055662188101,""p"":0.003,""q"":0.0008406909788867563,""time"":""20221111_231529""}"
       100,        29,         0,   0.051,pymatching,a02789bab39316f8882d2db9ffb20b3b87dcbcde2bcc4cf8b710fd74f7ed44cd,"{""bias"":16,""code"":""Honeycomb"",""distance"":8,""m"":0.014378714673373486,""p"":0.0032068966,""q"":0.0008986696670858429,""time"":""20221111_231530""}"
       100,        37,         0,   0.049,pymatching,2aae2498bba43b0fef5396bdb3028fa353551c13ffcda31656cbbb03dd4d7978,"{""bias"":16,""code"":""Honeycomb"",""distance"":8,""m"":0.014842544178966178,""p"":0.0033103448,""q"":0.0009276590111853861,""time"":""20221111_231530""}"
       100,        38,         0,   0.050,pymatching,b5eee31454847c8ff84247282e5c859586c05155439a949ff985bcd598f87ed4,"{""bias"":16,""code"":""Honeycomb"",""distance"":8,""m"":0.015306373684558873,""p"":0.0034137931,""q"":0.0009566483552849296,""time"":""20221111_231531""}"
       100,        36,         0,   0.053,pymatching,ebf6acd5932f767b0416d7e2410deb30aae6b3727d7ef95b018a78e05636aa6a,"{""bias"":16,""code"":""Honeycomb"",""distance"":8,""m"":0.015770203190151565,""p"":0.0035172414,""q"":0.0009856376993844728,""time"":""20221111_231531""}"
       100,        51,         0,   0.053,pymatching,2aa713d3dcc808effcbd1d4ecb73eb7dc286ee8c881d2c8af0bbd998d01a857b,"{""bias"":16,""code"":""Honeycomb"",""distance"":8,""m"":0.016234032695744256,""p"":0.0036206897,""q"":0.001014627043484016,""time"":""20221111_231531""}"
       100,        43,         0,   0.054,pymatching,28263d954f64e00aa1e15ea62a780552196a42c02e4c942b7676e55a37ae76c9,"{""bias"":16,""code"":""Honeycomb"",""distance"":8,""m"":0.017625521212522338,""p"":0.0039310345,""q"":0.0011015950757826461,""time"":""20221111_231533""}"
       100,        36,         0,   0.054,pymatching,12449b4f39b023e177b26efe9f5948577f984c73469dcb72bf49ee9bda696f0d,"{""bias"":16,""code"":""Honeycomb"",""distance"":8,""m"":0.017161691706929647,""p"":0.0038275862,""q"":0.001072605731683103,""time"":""20221111_231532""}"
       100,        53,         0,   0.049,pymatching,9768836697c3ddb9064d7b9aa53f4157567361cd50f3fa4517fda8318e6e48cb,"{""bias"":16,""code"":""Honeycomb"",""distance"":8,""m"":0.01669786220133695,""p"":0.0037241379,""q"":0.0010436163875835595,""time"":""20221111_231532""}"
       100,        30,         0,   0.038,pymatching,c608553c1ab177034f64356ecc65de9690cefc9163e1b0c2fc0308f0c5033311,"{""bias"":16,""code"":""Honeycomb"",""distance"":8,""m"":0.013451055662188101,""p"":0.003,""q"":0.0008406909788867563,""time"":""20221111_231529""}"
       100,        23,         0,   0.038,pymatching,1f306072929fcc2bd0adec9ce2a6e577b1fad0b3221ab802fbead672a5758bc0,"{""bias"":16,""code"":""Honeycomb"",""distance"":8,""m"":0.013914885167780791,""p"":0.0031034483,""q"":0.0008696803229862994,""time"":""20221111_231530""}"
