     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         9,         0,   0.272,pymatching,a34b54c1ecd56f30326ab08cfb39ddcf8eadbaa38ae2d7948dcb891c87c94aec,"{""code_name"":""GaugeHoneycombCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":1,""per"":0.001,""pm"":1.0,""px"":1.0,""py"":1.0,""pz"":1.0}",
        31,         2,         0,   0.181,pymatching,a34b54c1ecd56f30326ab08cfb39ddcf8eadbaa38ae2d7948dcb891c87c94aec,"{""code_name"":""GaugeHoneycombCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":1,""per"":0.001,""pm"":1.0,""px"":1.0,""py"":1.0,""pz"":1.0}",
       100,         8,         0,   0.252,pymatching,d213677303eb4f2c0e2173aec9987372163330f78400fe604cbedcf2c589af0f,"{""code_name"":""GaugeHoneycombCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":2,""per"":0.001,""pm"":1.0,""px"":1.0,""py"":1.0,""pz"":1.0}",
        45,         5,         0,   0.227,pymatching,d213677303eb4f2c0e2173aec9987372163330f78400fe604cbedcf2c589af0f,"{""code_name"":""GaugeHoneycombCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":2,""per"":0.001,""pm"":1.0,""px"":1.0,""py"":1.0,""pz"":1.0}",
       100,         0,         0,   0.628,pymatching,0d6baad19424ea4107048c5dc76c4c3c93452f84d55facdaac751c79e4dd3509,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":3,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       200,         0,         0,   0.008,pymatching,0d6baad19424ea4107048c5dc76c4c3c93452f84d55facdaac751c79e4dd3509,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":3,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       100,         0,         0,   0.752,pymatching,5a1f54f0e03312d1e4a2c2e992ed8f5cc9cbeecdc04a25725ddaf2031bf719aa,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       100,         0,         0,   0.743,pymatching,7efd953d57025199a65ae930e614beac4b222535a870e5331953d747fe25b2be,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":3,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       100,         0,         0,   0.785,pymatching,dfae06015f66bf46894532d373495b862d6215a7e56f93038ddff791a5ec0c57,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":2,""gf_1"":2,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       100,         0,         0,   0.775,pymatching,087ca23b938db2cc1acc05b96288ca76f196329a0ee9ece575c7054262409ffd,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":2,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
