     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,        26,         0,   0.487,pymatching,e6e6c95e4c7f4a7de6b22df33b6903247eb7558cb58379bc1e2f3c1143b97334,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.001,""r"":3}"
       100,        51,         0,   0.499,pymatching,cc6a587a176cef37da000824245a65b01384dc4e02b865896c9a4baa133440de,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.002,""r"":3}"
       100,        43,         0,   0.565,pymatching,65e4e5f2ba7c1f6c975430674f7ff5f227bd9331792a346b945229e1494dbc0d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.003,""r"":3}"
       200,        50,         0,   0.468,pymatching,e6e6c95e4c7f4a7de6b22df33b6903247eb7558cb58379bc1e2f3c1143b97334,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.001,""r"":3}"
       200,        47,         0,   0.419,pymatching,e6e6c95e4c7f4a7de6b22df33b6903247eb7558cb58379bc1e2f3c1143b97334,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.001,""r"":3}"
       100,        22,         0,   0.419,pymatching,e6e6c95e4c7f4a7de6b22df33b6903247eb7558cb58379bc1e2f3c1143b97334,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.001,""r"":3}"
       600,       142,         0,   0.561,pymatching,e6e6c95e4c7f4a7de6b22df33b6903247eb7558cb58379bc1e2f3c1143b97334,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.001,""r"":3}"
      1000,       237,         0,   0.725,pymatching,e6e6c95e4c7f4a7de6b22df33b6903247eb7558cb58379bc1e2f3c1143b97334,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.001,""r"":3}"
      1200,       313,         0,   0.778,pymatching,e6e6c95e4c7f4a7de6b22df33b6903247eb7558cb58379bc1e2f3c1143b97334,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.001,""r"":3}"
        22,         5,         0,   0.327,pymatching,e6e6c95e4c7f4a7de6b22df33b6903247eb7558cb58379bc1e2f3c1143b97334,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.001,""r"":3}"
       782,       200,         0,   0.726,pymatching,e6e6c95e4c7f4a7de6b22df33b6903247eb7558cb58379bc1e2f3c1143b97334,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.001,""r"":3}"
       200,        86,         0,   0.467,pymatching,cc6a587a176cef37da000824245a65b01384dc4e02b865896c9a4baa133440de,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.002,""r"":3}"
       200,        98,         0,   0.469,pymatching,cc6a587a176cef37da000824245a65b01384dc4e02b865896c9a4baa133440de,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.002,""r"":3}"
       100,        51,         0,   0.424,pymatching,cc6a587a176cef37da000824245a65b01384dc4e02b865896c9a4baa133440de,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.002,""r"":3}"
       600,       290,         0,   0.769,pymatching,cc6a587a176cef37da000824245a65b01384dc4e02b865896c9a4baa133440de,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.002,""r"":3}"
       200,       103,         0,   0.666,pymatching,65e4e5f2ba7c1f6c975430674f7ff5f227bd9331792a346b945229e1494dbc0d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.003,""r"":3}"
       929,       417,         0,    1.03,pymatching,cc6a587a176cef37da000824245a65b01384dc4e02b865896c9a4baa133440de,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.002,""r"":3}"
       200,        87,         0,   0.641,pymatching,65e4e5f2ba7c1f6c975430674f7ff5f227bd9331792a346b945229e1494dbc0d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.003,""r"":3}"
        20,         8,         0,   0.313,pymatching,cc6a587a176cef37da000824245a65b01384dc4e02b865896c9a4baa133440de,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.002,""r"":3}"
        47,        23,         0,   0.378,pymatching,65e4e5f2ba7c1f6c975430674f7ff5f227bd9331792a346b945229e1494dbc0d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.003,""r"":3}"
       600,       299,         0,    1.27,pymatching,65e4e5f2ba7c1f6c975430674f7ff5f227bd9331792a346b945229e1494dbc0d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.003,""r"":3}"
      1000,       478,         0,    1.71,pymatching,65e4e5f2ba7c1f6c975430674f7ff5f227bd9331792a346b945229e1494dbc0d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""p"":0.003,""r"":3}"
       100,         5,         0,    1.47,pymatching,588d3da5b7ae8313908b783cab69061a9566a96fa097a86936af6e3e1b6846bb,"{""code"":""GaugeFloquetColourCodeX"",""distance"":8,""layers"":24,""p"":0.001,""r"":3}"
       100,        49,         0,    1.87,pymatching,16852004a6f86b8c2d7bdb3a2a38df0fd3925e07f93fd37043fb275e5c89bf9e,"{""code"":""GaugeFloquetColourCodeX"",""distance"":8,""layers"":24,""p"":0.002,""r"":3}"
       200,        15,         0,    1.38,pymatching,588d3da5b7ae8313908b783cab69061a9566a96fa097a86936af6e3e1b6846bb,"{""code"":""GaugeFloquetColourCodeX"",""distance"":8,""layers"":24,""p"":0.001,""r"":3}"
