     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,   0.213,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
       100,         0,         0,   0.199,pymatching,b3c39101597c415fd7df1f1139e83bd8e435dae776b85aa972a547644d1732c2,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00025,""r"":3,""total_measurement_rounds"":144}"
       100,         1,         0,   0.173,pymatching,188a752591a030b76263c200e38938e34b7dc58d9f0ecf6a94625949f67d28d0,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0005,""r"":3,""total_measurement_rounds"":144}"
       100,         0,         0,   0.231,pymatching,af90285634d906418a8b437efeedae2f2ad865feff08e4a12dad4905c258f34d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00075,""r"":3,""total_measurement_rounds"":144}"
       200,         0,         0,   0.173,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
       200,         1,         0,   0.184,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
       100,         0,         0,   0.173,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
       600,         0,         0,   0.193,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
       200,         1,         0,   0.220,pymatching,b3c39101597c415fd7df1f1139e83bd8e435dae776b85aa972a547644d1732c2,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00025,""r"":3,""total_measurement_rounds"":144}"
      1000,         0,         0,   0.220,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
      1200,         0,         0,   0.218,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
      1400,         0,         0,   0.317,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
      2400,         1,         0,   0.341,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
      4400,         0,         0,   0.465,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
      6800,         1,         0,   0.593,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
      9600,         1,         0,    1.07,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
     14400,         1,         0,    1.18,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
       600,         3,         0,   0.187,pymatching,b3c39101597c415fd7df1f1139e83bd8e435dae776b85aa972a547644d1732c2,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00025,""r"":3,""total_measurement_rounds"":144}"
       600,         1,         0,   0.186,pymatching,b3c39101597c415fd7df1f1139e83bd8e435dae776b85aa972a547644d1732c2,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00025,""r"":3,""total_measurement_rounds"":144}"
      1800,         3,         0,   0.268,pymatching,b3c39101597c415fd7df1f1139e83bd8e435dae776b85aa972a547644d1732c2,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00025,""r"":3,""total_measurement_rounds"":144}"
      3000,         2,         0,   0.319,pymatching,b3c39101597c415fd7df1f1139e83bd8e435dae776b85aa972a547644d1732c2,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00025,""r"":3,""total_measurement_rounds"":144}"
     23200,         3,         0,    1.83,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
      6600,         4,         0,   0.694,pymatching,b3c39101597c415fd7df1f1139e83bd8e435dae776b85aa972a547644d1732c2,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00025,""r"":3,""total_measurement_rounds"":144}"
     12600,         9,         0,    1.18,pymatching,b3c39101597c415fd7df1f1139e83bd8e435dae776b85aa972a547644d1732c2,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00025,""r"":3,""total_measurement_rounds"":144}"
     34400,         7,         0,    2.61,pymatching,5348985c052c5a2799af3f0bbcaa8ddc5ed178d6ad83acd04a2f01fbaebda98d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0001,""r"":3,""total_measurement_rounds"":144}"
       200,         0,         0,   0.192,pymatching,188a752591a030b76263c200e38938e34b7dc58d9f0ecf6a94625949f67d28d0,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0005,""r"":3,""total_measurement_rounds"":144}"
     12300,        12,         0,    1.18,pymatching,b3c39101597c415fd7df1f1139e83bd8e435dae776b85aa972a547644d1732c2,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00025,""r"":3,""total_measurement_rounds"":144}"
       600,         1,         0,   0.210,pymatching,188a752591a030b76263c200e38938e34b7dc58d9f0ecf6a94625949f67d28d0,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0005,""r"":3,""total_measurement_rounds"":144}"
       600,         2,         0,   0.195,pymatching,188a752591a030b76263c200e38938e34b7dc58d9f0ecf6a94625949f67d28d0,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0005,""r"":3,""total_measurement_rounds"":144}"
      1800,         2,         0,   0.341,pymatching,188a752591a030b76263c200e38938e34b7dc58d9f0ecf6a94625949f67d28d0,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0005,""r"":3,""total_measurement_rounds"":144}"
      3000,        13,         0,   0.452,pymatching,188a752591a030b76263c200e38938e34b7dc58d9f0ecf6a94625949f67d28d0,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0005,""r"":3,""total_measurement_rounds"":144}"
      6600,        22,         0,   0.827,pymatching,188a752591a030b76263c200e38938e34b7dc58d9f0ecf6a94625949f67d28d0,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0005,""r"":3,""total_measurement_rounds"":144}"
     25800,        28,         0,    2.42,pymatching,b3c39101597c415fd7df1f1139e83bd8e435dae776b85aa972a547644d1732c2,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00025,""r"":3,""total_measurement_rounds"":144}"
     12600,        55,         0,    1.40,pymatching,188a752591a030b76263c200e38938e34b7dc58d9f0ecf6a94625949f67d28d0,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0005,""r"":3,""total_measurement_rounds"":144}"
       200,         1,         0,   0.218,pymatching,af90285634d906418a8b437efeedae2f2ad865feff08e4a12dad4905c258f34d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00075,""r"":3,""total_measurement_rounds"":144}"
       600,         5,         0,   0.222,pymatching,af90285634d906418a8b437efeedae2f2ad865feff08e4a12dad4905c258f34d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00075,""r"":3,""total_measurement_rounds"":144}"
     11054,        40,         0,    1.31,pymatching,188a752591a030b76263c200e38938e34b7dc58d9f0ecf6a94625949f67d28d0,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0005,""r"":3,""total_measurement_rounds"":144}"
      1800,        19,         0,   0.355,pymatching,af90285634d906418a8b437efeedae2f2ad865feff08e4a12dad4905c258f34d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00075,""r"":3,""total_measurement_rounds"":144}"
     36400,        30,         0,    3.29,pymatching,b3c39101597c415fd7df1f1139e83bd8e435dae776b85aa972a547644d1732c2,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00025,""r"":3,""total_measurement_rounds"":144}"
      1800,        24,         0,   0.338,pymatching,af90285634d906418a8b437efeedae2f2ad865feff08e4a12dad4905c258f34d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00075,""r"":3,""total_measurement_rounds"":144}"
      2974,        26,         0,   0.439,pymatching,af90285634d906418a8b437efeedae2f2ad865feff08e4a12dad4905c258f34d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00075,""r"":3,""total_measurement_rounds"":144}"
      5400,        55,         0,   0.700,pymatching,af90285634d906418a8b437efeedae2f2ad865feff08e4a12dad4905c258f34d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00075,""r"":3,""total_measurement_rounds"":144}"
      5400,        54,         0,   0.727,pymatching,af90285634d906418a8b437efeedae2f2ad865feff08e4a12dad4905c258f34d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00075,""r"":3,""total_measurement_rounds"":144}"
      1692,        18,         0,   0.329,pymatching,af90285634d906418a8b437efeedae2f2ad865feff08e4a12dad4905c258f34d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00075,""r"":3,""total_measurement_rounds"":144}"
       100,         2,         0,   0.150,pymatching,5ea7af8988ee8cf21520ec4de002b19c4d5af8699e485c2e90de795d2622a18b,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.001,""r"":3,""total_measurement_rounds"":144}"
        87,         0,         0,   0.150,pymatching,af90285634d906418a8b437efeedae2f2ad865feff08e4a12dad4905c258f34d,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.00075,""r"":3,""total_measurement_rounds"":144}"
     25800,       100,         0,    2.81,pymatching,188a752591a030b76263c200e38938e34b7dc58d9f0ecf6a94625949f67d28d0,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.0005,""r"":3,""total_measurement_rounds"":144}"
       200,         6,         0,   0.166,pymatching,5ea7af8988ee8cf21520ec4de002b19c4d5af8699e485c2e90de795d2622a18b,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":12,""measurement_rounds"":12,""noise_model"":""SuperconductingNoise"",""p"":0.001,""r"":3,""total_measurement_rounds"":144}"
