     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
    591020,      1084,         0,    20.5,pymatching,cb54504d7ce410bb1d2bbb417e208390fb97a7db6f256d99e12bfb60a4b6c4e4,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":8,""measurement_rounds"":12,""noise_model"":""CircuitLevelNoise"",""p"":0.0001,""r"":2,""total_measurement_rounds"":96}"
     20442,      1010,         0,    1.50,pymatching,e46a1f16f8a35ab1019a409ab56588ae3db29dc1d6d0372ef70cec511f1b086f,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":8,""measurement_rounds"":12,""noise_model"":""CircuitLevelNoise"",""p"":0.0005,""r"":2,""total_measurement_rounds"":96}"
     80245,      1027,         0,    4.13,pymatching,b01d29383af1c1e6ea6eaf7ddb30f85be2c9b1adc131c824b5b2d92a3820a23a,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":8,""measurement_rounds"":12,""noise_model"":""CircuitLevelNoise"",""p"":0.00025,""r"":2,""total_measurement_rounds"":96}"
      9726,      1042,         0,    1.02,pymatching,52a19759703ad7fd1e4d4cd595d6a50267b97daf6f97a50350cee3ccf1314433,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":8,""measurement_rounds"":12,""noise_model"":""CircuitLevelNoise"",""p"":0.00075,""r"":2,""total_measurement_rounds"":96}"
      5752,      1003,         0,   0.981,pymatching,a11382ed1dbcb5f314e0980d67c638ab028ea562d58589bfb80f212f54cd5471,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":8,""measurement_rounds"":12,""noise_model"":""CircuitLevelNoise"",""p"":0.001,""r"":2,""total_measurement_rounds"":96}"
      2509,      1004,         0,   0.736,pymatching,a26b00bf3ecdbe1cd6da976fb95785b820b4ab7679e162f7adff10df97ac6720,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":8,""measurement_rounds"":12,""noise_model"":""CircuitLevelNoise"",""p"":0.002,""r"":2,""total_measurement_rounds"":96}"
      2071,      1027,         0,   0.818,pymatching,b93789d0457a542acd4de49cc4b002aa11502a9fa99cd86bb14305f69f3a3c02,"{""code"":""GaugeFloquetColourCodeX"",""distance"":4,""layers"":8,""measurement_rounds"":12,""noise_model"":""CircuitLevelNoise"",""p"":0.003,""r"":2,""total_measurement_rounds"":96}"
   5000000,        10,         0,  1602.9,pymatching,e8ee3865baf0bff83da09df2a8ff01b1227efcc10422cb22f1ab13db164f4c35,"{""code"":""GaugeFloquetColourCodeX"",""distance"":8,""layers"":16,""measurement_rounds"":12,""noise_model"":""CircuitLevelNoise"",""p"":0.0001,""r"":2,""total_measurement_rounds"":192}"
   5000000,       465,         0,  2515.0,pymatching,3a3b1c452678f707eb76fba7b7a1742c663905cb40769bafc23d3ce773329bbe,"{""code"":""GaugeFloquetColourCodeX"",""distance"":8,""layers"":16,""measurement_rounds"":12,""noise_model"":""CircuitLevelNoise"",""p"":0.00025,""r"":2,""total_measurement_rounds"":192}"
    471390,      1012,         0,   425.3,pymatching,f693d500812dbd9ebdfe12a58fcaaed034b7dd67f589a75de9894878069ffd85,"{""code"":""GaugeFloquetColourCodeX"",""distance"":8,""layers"":16,""measurement_rounds"":12,""noise_model"":""CircuitLevelNoise"",""p"":0.0005,""r"":2,""total_measurement_rounds"":192}"
