shots,bp_converged,postprocessing_count,max_bp_iters,id,bias,per,code_name
100,8,92,10,10[0.006],0.5,[0.006],FloquetColourCode
100,12,88,10,10[0.006],0.5,[0.006],FloquetColourCode
200,26,174,10,10[0.006],0.5,[0.006],FloquetColourCode
200,23,177,10,10[0.006],0.5,[0.006],FloquetColourCode
200,20,180,10,10[0.006],0.5,[0.006],FloquetColourCode
400,64,336,10,10[0.006],0.5,[0.006],FloquetColourCode
400,47,353,10,10[0.006],0.5,[0.006],FloquetColourCode
800,91,709,10,10[0.006],0.5,[0.006],FloquetColourCode
1200,147,1053,10,10[0.006],0.5,[0.006],FloquetColourCode
1200,152,1048,10,10[0.006],0.5,[0.006],FloquetColourCode
2400,320,2080,10,10[0.006],0.5,[0.006],FloquetColourCode
2400,300,2100,10,10[0.006],0.5,[0.006],FloquetColourCode
122,16,106,10,10[0.006],0.5,[0.006],FloquetColourCode
732,88,644,10,10[0.006],0.5,[0.006],FloquetColourCode
4800,600,4200,10,10[0.006],0.5,[0.006],FloquetColourCode
7200,896,6304,10,10[0.006],0.5,[0.006],FloquetColourCode
6829,923,5906,10,10[0.006],0.5,[0.006],FloquetColourCode
4392,551,3841,10,10[0.006],0.5,[0.006],FloquetColourCode
7200,968,6232,10,10[0.006],0.5,[0.006],FloquetColourCode
7139,925,6214,10,10[0.006],0.5,[0.006],FloquetColourCode
7139,943,6196,10,10[0.006],0.5,[0.006],FloquetColourCode
7571,960,6611,10,10[0.006],0.5,[0.006],FloquetColourCode
6626,879,5747,10,10[0.006],0.5,[0.006],FloquetColourCode
100,4,96,10,10[0.007],0.5,[0.007],FloquetColourCode
100,8,92,10,10[0.007],0.5,[0.007],FloquetColourCode
200,13,187,10,10[0.007],0.5,[0.007],FloquetColourCode
200,8,192,10,10[0.007],0.5,[0.007],FloquetColourCode
200,13,187,10,10[0.007],0.5,[0.007],FloquetColourCode
400,26,374,10,10[0.007],0.5,[0.007],FloquetColourCode
400,34,366,10,10[0.007],0.5,[0.007],FloquetColourCode
800,52,748,10,10[0.007],0.5,[0.007],FloquetColourCode
1200,68,1132,10,10[0.007],0.5,[0.007],FloquetColourCode
400,21,379,10,10[0.007],0.5,[0.007],FloquetColourCode
1200,60,1140,10,10[0.007],0.5,[0.007],FloquetColourCode
2400,127,2273,10,10[0.007],0.5,[0.007],FloquetColourCode
2400,144,2256,10,10[0.007],0.5,[0.007],FloquetColourCode
100,5,95,10,10[0.008],0.5,[0.008],FloquetColourCode
100,3,97,10,10[0.008],0.5,[0.008],FloquetColourCode
200,5,195,10,10[0.008],0.5,[0.008],FloquetColourCode
200,5,195,10,10[0.008],0.5,[0.008],FloquetColourCode
200,7,193,10,10[0.008],0.5,[0.008],FloquetColourCode
400,15,385,10,10[0.008],0.5,[0.008],FloquetColourCode
400,5,395,10,10[0.008],0.5,[0.008],FloquetColourCode
800,19,781,10,10[0.008],0.5,[0.008],FloquetColourCode
