shots,bp_converged,postprocessing_count,max_bp_iters,id,bias,per,code_name
100,10,90,10,10[0.006],9999,[0.006],FloquetColourCode
100,10,90,10,10[0.006],9999,[0.006],FloquetColourCode
200,19,181,10,10[0.006],9999,[0.006],FloquetColourCode
200,15,185,10,10[0.006],9999,[0.006],FloquetColourCode
200,21,179,10,10[0.006],9999,[0.006],FloquetColourCode
400,50,350,10,10[0.006],9999,[0.006],FloquetColourCode
400,43,357,10,10[0.006],9999,[0.006],FloquetColourCode
800,88,712,10,10[0.006],9999,[0.006],FloquetColourCode
1200,105,1095,10,10[0.006],9999,[0.006],FloquetColourCode
400,40,360,10,10[0.006],9999,[0.006],FloquetColourCode
208,35,173,10,10[0.006],9999,[0.006],FloquetColourCode
4592,487,4105,10,10[0.006],9999,[0.006],FloquetColourCode
100,6,94,10,10[0.007],9999,[0.007],FloquetColourCode
100,5,95,10,10[0.007],9999,[0.007],FloquetColourCode
200,12,188,10,10[0.007],9999,[0.007],FloquetColourCode
200,7,193,10,10[0.007],9999,[0.007],FloquetColourCode
200,12,188,10,10[0.007],9999,[0.007],FloquetColourCode
400,21,379,10,10[0.007],9999,[0.007],FloquetColourCode
400,16,384,10,10[0.007],9999,[0.007],FloquetColourCode
800,42,758,10,10[0.007],9999,[0.007],FloquetColourCode
1200,43,1157,10,10[0.007],9999,[0.007],FloquetColourCode
1200,61,1139,10,10[0.007],9999,[0.007],FloquetColourCode
400,20,380,10,10[0.007],9999,[0.007],FloquetColourCode
2400,130,2270,10,10[0.007],9999,[0.007],FloquetColourCode
2400,105,2295,10,10[0.007],9999,[0.007],FloquetColourCode
100,3,97,10,10[0.008],9999,[0.008],FloquetColourCode
100,3,97,10,10[0.008],9999,[0.008],FloquetColourCode
200,4,196,10,10[0.008],9999,[0.008],FloquetColourCode
200,7,193,10,10[0.008],9999,[0.008],FloquetColourCode
200,2,198,10,10[0.008],9999,[0.008],FloquetColourCode
400,13,387,10,10[0.008],9999,[0.008],FloquetColourCode
400,14,386,10,10[0.008],9999,[0.008],FloquetColourCode
360,15,345,10,10[0.008],9999,[0.008],FloquetColourCode
800,16,784,10,10[0.008],9999,[0.008],FloquetColourCode
1200,30,1170,10,10[0.008],9999,[0.008],FloquetColourCode
1200,19,1181,10,10[0.008],9999,[0.008],FloquetColourCode
1710,34,1676,10,10[0.008],9999,[0.008],FloquetColourCode
100,0,100,10,10[0.009],9999,[0.009],FloquetColourCode
100,1,99,10,10[0.009],9999,[0.009],FloquetColourCode
200,4,196,10,10[0.009],9999,[0.009],FloquetColourCode
200,1,199,10,10[0.009],9999,[0.009],FloquetColourCode
200,0,200,10,10[0.009],9999,[0.009],FloquetColourCode
