shots,bp_converged,postprocessing_count,max_bp_iters,id,bias,per,code_name
100,45,55,10,10[0.006],9999,[0.006],HoneycombCode
100,41,59,10,10[0.006],9999,[0.006],HoneycombCode
200,82,118,10,10[0.006],9999,[0.006],HoneycombCode
200,80,120,10,10[0.006],9999,[0.006],HoneycombCode
200,83,117,10,10[0.006],9999,[0.006],HoneycombCode
400,155,245,10,10[0.006],9999,[0.006],HoneycombCode
400,149,251,10,10[0.006],9999,[0.006],HoneycombCode
800,319,481,10,10[0.006],9999,[0.006],HoneycombCode
400,155,245,10,10[0.006],9999,[0.006],HoneycombCode
1200,500,700,10,10[0.006],9999,[0.006],HoneycombCode
1200,449,751,10,10[0.006],9999,[0.006],HoneycombCode
2400,963,1437,10,10[0.006],9999,[0.006],HoneycombCode
2400,937,1463,10,10[0.006],9999,[0.006],HoneycombCode
100,25,75,10,10[0.007],9999,[0.007],HoneycombCode
100,27,73,10,10[0.007],9999,[0.007],HoneycombCode
200,55,145,10,10[0.007],9999,[0.007],HoneycombCode
200,65,135,10,10[0.007],9999,[0.007],HoneycombCode
200,58,142,10,10[0.007],9999,[0.007],HoneycombCode
400,113,287,10,10[0.007],9999,[0.007],HoneycombCode
400,120,280,10,10[0.007],9999,[0.007],HoneycombCode
800,233,567,10,10[0.007],9999,[0.007],HoneycombCode
400,100,300,10,10[0.007],9999,[0.007],HoneycombCode
1200,362,838,10,10[0.007],9999,[0.007],HoneycombCode
1200,330,870,10,10[0.007],9999,[0.007],HoneycombCode
2400,707,1693,10,10[0.007],9999,[0.007],HoneycombCode
2400,690,1710,10,10[0.007],9999,[0.007],HoneycombCode
100,13,87,10,10[0.009],9999,[0.009],HoneycombCode
100,9,91,10,10[0.009],9999,[0.009],HoneycombCode
200,27,173,10,10[0.009],9999,[0.009],HoneycombCode
200,25,175,10,10[0.009],9999,[0.009],HoneycombCode
200,24,176,10,10[0.009],9999,[0.009],HoneycombCode
400,51,349,10,10[0.009],9999,[0.009],HoneycombCode
400,51,349,10,10[0.009],9999,[0.009],HoneycombCode
800,110,690,10,10[0.009],9999,[0.009],HoneycombCode
1200,141,1059,10,10[0.009],9999,[0.009],HoneycombCode
885,110,775,10,10[0.009],9999,[0.009],HoneycombCode
822,100,722,10,10[0.009],9999,[0.009],HoneycombCode
1200,148,1052,10,10[0.009],9999,[0.009],HoneycombCode
100,8,92,10,10[0.01],9999,[0.01],HoneycombCode
100,11,89,10,10[0.01],9999,[0.01],HoneycombCode
200,15,185,10,10[0.01],9999,[0.01],HoneycombCode
200,8,192,10,10[0.01],9999,[0.01],HoneycombCode
200,20,180,10,10[0.01],9999,[0.01],HoneycombCode
400,24,376,10,10[0.01],9999,[0.01],HoneycombCode
400,31,369,10,10[0.01],9999,[0.01],HoneycombCode
128,11,117,10,10[0.01],9999,[0.01],HoneycombCode
800,54,746,10,10[0.01],9999,[0.01],HoneycombCode
983,73,910,10,10[0.01],9999,[0.01],HoneycombCode
1200,94,1106,10,10[0.01],9999,[0.01],HoneycombCode
100,4,96,10,10[0.011],9999,[0.011],HoneycombCode
100,10,90,10,10[0.011],9999,[0.011],HoneycombCode
200,4,196,10,10[0.011],9999,[0.011],HoneycombCode
200,12,188,10,10[0.011],9999,[0.011],HoneycombCode
200,8,192,10,10[0.011],9999,[0.011],HoneycombCode
294,17,277,10,10[0.011],9999,[0.011],HoneycombCode
400,23,377,10,10[0.011],9999,[0.011],HoneycombCode
265,5,260,10,10[0.011],9999,[0.011],HoneycombCode
285,16,269,10,10[0.011],9999,[0.011],HoneycombCode
124,8,116,10,10[0.011],9999,[0.011],HoneycombCode
240,16,224,10,10[0.011],9999,[0.011],HoneycombCode
800,32,768,10,10[0.011],9999,[0.011],HoneycombCode
100,1,99,10,10[0.012],9999,[0.012],HoneycombCode
100,4,96,10,10[0.012],9999,[0.012],HoneycombCode
200,5,195,10,10[0.012],9999,[0.012],HoneycombCode
200,3,197,10,10[0.012],9999,[0.012],HoneycombCode
200,4,196,10,10[0.012],9999,[0.012],HoneycombCode
400,14,386,10,10[0.012],9999,[0.012],HoneycombCode
452,12,440,10,10[0.012],9999,[0.012],HoneycombCode
100,0,100,10,10[0.013],9999,[0.013],HoneycombCode
100,2,98,10,10[0.013],9999,[0.013],HoneycombCode
200,2,198,10,10[0.013],9999,[0.013],HoneycombCode
200,4,196,10,10[0.013],9999,[0.013],HoneycombCode
200,3,197,10,10[0.013],9999,[0.013],HoneycombCode
329,5,324,10,10[0.013],9999,[0.013],HoneycombCode
400,5,395,10,10[0.013],9999,[0.013],HoneycombCode
100,0,100,10,10[0.014],9999,[0.014],HoneycombCode
100,0,100,10,10[0.014],9999,[0.014],HoneycombCode
200,0,200,10,10[0.014],9999,[0.014],HoneycombCode
101,2,99,10,10[0.014],9999,[0.014],HoneycombCode
200,0,200,10,10[0.014],9999,[0.014],HoneycombCode
385,2,383,10,10[0.014],9999,[0.014],HoneycombCode
80,0,80,10,10[0.014],9999,[0.014],HoneycombCode
