     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
    100000,       275,         0,   0.783,pymatching,f28a25b28e16753891033d21296e6472c37f5e500cfd57a1fd3043e9d89f4d06,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0,""p"":0.001,""q"":0.001542}"
    100000,       539,         0,   0.847,pymatching,c064e82dedfc654d760813ec3f26491cfb665ef308aced60c2ca35bac47d2c4f,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0,""p"":0.00145,""q"":0.002235}"
    100000,      1034,         0,    1.00,pymatching,f4fd5e6a35390e378ee9b012f1c6cb63d5d167239966abe2d1735c848f4afa79,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0,""p"":0.0019,""q"":0.002929}"
     64555,      1001,         0,   0.878,pymatching,77b5d6d8afebfb0e635c0fb280b4948fd84d89e81b04eb01a42a3eac7adda029,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0,""p"":0.00235,""q"":0.003623}"
     46533,      1005,         0,   0.640,pymatching,99a9562a1443115768f8258001af36eeb6ddf4b658b3865eed4a680cc86cd497,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0,""p"":0.0028,""q"":0.004317}"
     35785,      1044,         0,   0.673,pymatching,306c4bdb098e117778a826382759579cb21346c9e0a58c0c6baf540191342d47,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0,""p"":0.00325,""q"":0.00501}"
    100000,      3787,         0,   0.920,pymatching,78ab1cbac321eaa2506526b0c0006e76d93179c7f4d2926ffba94106a5df219c,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0,""p"":0.0037,""q"":0.005704}"
     22049,      1021,         0,   0.498,pymatching,266a4bdd6899dd3ac7344f5c1c936c122ff4ffd6806ae8ce9c18e5c896ee28bf,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0,""p"":0.00415,""q"":0.006398}"
     17030,      1025,         0,   0.407,pymatching,f1aa5eea7113e64a4c77c8ff6edf081f0d5acc05359d5bce0c21c3a850d8b657,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0,""p"":0.0046,""q"":0.007092}"
     14513,      1011,         0,   0.415,pymatching,c1457032ad0ebbcbb9a74a93b9416d18576176f23bfb2acd7edcd30ddce5db29,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0,""p"":0.00505,""q"":0.007785}"
