     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,        23,         0,   0.023,pymatching,02ea07ef60c9a1856e80850193ff51f224e9e3acd111e4885b10f80183463c62,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00345,""q"":0.005211}"
       100,        21,         0,   0.023,pymatching,ffbc7369b5533b1ba7ce6759222b1f6b8c4c940ec9f8d485a13bb859135b189c,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.004984}"
       100,        12,         0,   0.032,pymatching,93fc1a9b60cbcf6d0663a8c232d3e1c1d9dbb07223f67ef63a42563e4b55bcba,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004758}"
       100,        15,         0,   0.033,pymatching,5b50a2f07fac4499422fc9008807e8041dacbe32eeddf15af73d39527a6b7278,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004531}"
       100,        18,         0,   0.020,pymatching,5005528270668783ecd342a2be3571f5fb56206d746671ee90d1aa4195cca824,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00405,""q"":0.006117}"
       100,        13,         0,   0.024,pymatching,90d2a5e3696045513b9e7a6d0e09d514e441f0f40f8f2596d103f81f2cb81280,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00375,""q"":0.005664}"
       100,        23,         0,   0.024,pymatching,9dbe8fe153a6a98663774a72dd24b93275147a76d77e47a5a9af3a97dffca176,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0036,""q"":0.005438}"
       100,        33,         0,   0.020,pymatching,1df5513d569abf37eabf9521e5fe7b11eb2f91b83508a0959687af01b3eda5bc,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0039,""q"":0.005891}"
       200,        30,         0,   0.011,pymatching,02ea07ef60c9a1856e80850193ff51f224e9e3acd111e4885b10f80183463c62,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00345,""q"":0.005211}"
       200,        31,         0,   0.011,pymatching,ffbc7369b5533b1ba7ce6759222b1f6b8c4c940ec9f8d485a13bb859135b189c,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.004984}"
       100,        11,         0,   0.010,pymatching,93fc1a9b60cbcf6d0663a8c232d3e1c1d9dbb07223f67ef63a42563e4b55bcba,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004758}"
       100,         9,         0,   0.010,pymatching,5b50a2f07fac4499422fc9008807e8041dacbe32eeddf15af73d39527a6b7278,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004531}"
       200,        21,         0,   0.011,pymatching,93fc1a9b60cbcf6d0663a8c232d3e1c1d9dbb07223f67ef63a42563e4b55bcba,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004758}"
       200,        25,         0,   0.011,pymatching,5b50a2f07fac4499422fc9008807e8041dacbe32eeddf15af73d39527a6b7278,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004531}"
       200,        32,         0,   0.012,pymatching,5b50a2f07fac4499422fc9008807e8041dacbe32eeddf15af73d39527a6b7278,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004531}"
       200,        23,         0,   0.012,pymatching,93fc1a9b60cbcf6d0663a8c232d3e1c1d9dbb07223f67ef63a42563e4b55bcba,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004758}"
       200,        32,         0,   0.011,pymatching,ffbc7369b5533b1ba7ce6759222b1f6b8c4c940ec9f8d485a13bb859135b189c,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.004984}"
       200,        21,         0,   0.011,pymatching,5b50a2f07fac4499422fc9008807e8041dacbe32eeddf15af73d39527a6b7278,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004531}"
       400,        46,         0,   0.013,pymatching,5b50a2f07fac4499422fc9008807e8041dacbe32eeddf15af73d39527a6b7278,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004531}"
       400,        65,         0,   0.014,pymatching,93fc1a9b60cbcf6d0663a8c232d3e1c1d9dbb07223f67ef63a42563e4b55bcba,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004758}"
       400,        57,         0,   0.013,pymatching,5b50a2f07fac4499422fc9008807e8041dacbe32eeddf15af73d39527a6b7278,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004531}"
       600,        84,         0,   0.032,pymatching,ffbc7369b5533b1ba7ce6759222b1f6b8c4c940ec9f8d485a13bb859135b189c,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.004984}"
       800,       107,         0,   0.034,pymatching,5b50a2f07fac4499422fc9008807e8041dacbe32eeddf15af73d39527a6b7278,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004531}"
      1200,       155,         0,   0.038,pymatching,5b50a2f07fac4499422fc9008807e8041dacbe32eeddf15af73d39527a6b7278,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004531}"
       595,        79,         0,   0.014,pymatching,5b50a2f07fac4499422fc9008807e8041dacbe32eeddf15af73d39527a6b7278,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004531}"
      1200,       148,         0,   0.036,pymatching,93fc1a9b60cbcf6d0663a8c232d3e1c1d9dbb07223f67ef63a42563e4b55bcba,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004758}"
      1200,       149,         0,   0.039,pymatching,5b50a2f07fac4499422fc9008807e8041dacbe32eeddf15af73d39527a6b7278,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004531}"
       600,       108,         0,   0.016,pymatching,02ea07ef60c9a1856e80850193ff51f224e9e3acd111e4885b10f80183463c62,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00345,""q"":0.005211}"
      2000,       286,         0,   0.047,pymatching,93fc1a9b60cbcf6d0663a8c232d3e1c1d9dbb07223f67ef63a42563e4b55bcba,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004758}"
      1800,       283,         0,   0.045,pymatching,93fc1a9b60cbcf6d0663a8c232d3e1c1d9dbb07223f67ef63a42563e4b55bcba,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004758}"
      2400,       312,         0,   0.067,pymatching,5b50a2f07fac4499422fc9008807e8041dacbe32eeddf15af73d39527a6b7278,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004531}"
      2200,       355,         0,   0.068,pymatching,ffbc7369b5533b1ba7ce6759222b1f6b8c4c940ec9f8d485a13bb859135b189c,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.004984}"
      1034,       163,         0,   0.033,pymatching,ffbc7369b5533b1ba7ce6759222b1f6b8c4c940ec9f8d485a13bb859135b189c,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.004984}"
       200,        25,         0,   0.010,pymatching,9dbe8fe153a6a98663774a72dd24b93275147a76d77e47a5a9af3a97dffca176,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0036,""q"":0.005438}"
      2200,       338,         0,   0.068,pymatching,ffbc7369b5533b1ba7ce6759222b1f6b8c4c940ec9f8d485a13bb859135b189c,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.004984}"
       100,        17,         0,   0.009,pymatching,9dbe8fe153a6a98663774a72dd24b93275147a76d77e47a5a9af3a97dffca176,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0036,""q"":0.005438}"
       200,        43,         0,   0.011,pymatching,9dbe8fe153a6a98663774a72dd24b93275147a76d77e47a5a9af3a97dffca176,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0036,""q"":0.005438}"
