     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,        18,         0,   0.019,pymatching,10913bb889b1f76a7b3b3fb7a52f0b9e9c58818792a912dcb7f81a1656949f62,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.005019}"
       100,        10,         0,   0.019,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
       100,        17,         0,   0.018,pymatching,fe2b6a57a000cb4a93326b41e852db1d61fb35d20140eaec92008d7f26169036,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0039,""q"":0.005931}"
       100,        19,         0,   0.019,pymatching,d1e19bdbeca15a1cc870275d48d9c388f473a5f5f3de817edf59e889064da1dc,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00345,""q"":0.005247}"
       100,        14,         0,   0.019,pymatching,8f079ecb02138f735af28c70eea679ceecee417bb83a784c5d4242cf12355f05,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00375,""q"":0.005703}"
       100,        15,         0,   0.019,pymatching,9a5e98cbec139bf8e416d08efd786fa272725962edb89fb7f059ff9d5870e856,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004791}"
       100,        20,         0,   0.019,pymatching,20edb1da281ab867440d50924485c7d7e97bacb37e2d3b1570c212e1f390a3ea,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00405,""q"":0.006159}"
       100,        21,         0,   0.019,pymatching,344a2a3ba44225bd04b405c1ff569857da91968b53665fecfe7729535d877c3d,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0036,""q"":0.005475}"
       200,        31,         0,   0.008,pymatching,10913bb889b1f76a7b3b3fb7a52f0b9e9c58818792a912dcb7f81a1656949f62,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.005019}"
       200,        28,         0,   0.008,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
       100,        20,         0,   0.008,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
       200,        32,         0,   0.009,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
       200,        36,         0,   0.009,pymatching,10913bb889b1f76a7b3b3fb7a52f0b9e9c58818792a912dcb7f81a1656949f62,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.005019}"
       100,        12,         0,   0.008,pymatching,9a5e98cbec139bf8e416d08efd786fa272725962edb89fb7f059ff9d5870e856,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004791}"
       200,        34,         0,   0.009,pymatching,9a5e98cbec139bf8e416d08efd786fa272725962edb89fb7f059ff9d5870e856,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004791}"
       200,        26,         0,   0.009,pymatching,9a5e98cbec139bf8e416d08efd786fa272725962edb89fb7f059ff9d5870e856,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004791}"
       400,        47,         0,   0.010,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
       400,        55,         0,   0.011,pymatching,9a5e98cbec139bf8e416d08efd786fa272725962edb89fb7f059ff9d5870e856,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004791}"
       600,        79,         0,   0.012,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
       600,        98,         0,   0.013,pymatching,10913bb889b1f76a7b3b3fb7a52f0b9e9c58818792a912dcb7f81a1656949f62,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.005019}"
       800,       104,         0,   0.015,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
       800,       122,         0,   0.016,pymatching,9a5e98cbec139bf8e416d08efd786fa272725962edb89fb7f059ff9d5870e856,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004791}"
      1200,       140,         0,   0.019,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
      1200,       166,         0,   0.020,pymatching,9a5e98cbec139bf8e416d08efd786fa272725962edb89fb7f059ff9d5870e856,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004791}"
       400,        60,         0,   0.010,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
       102,        14,         0,   0.007,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
       167,        28,         0,   0.008,pymatching,9a5e98cbec139bf8e416d08efd786fa272725962edb89fb7f059ff9d5870e856,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004791}"
       332,        41,         0,   0.010,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
      1400,       179,         0,   0.022,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
       200,        28,         0,   0.009,pymatching,d1e19bdbeca15a1cc870275d48d9c388f473a5f5f3de817edf59e889064da1dc,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00345,""q"":0.005247}"
      2000,       259,         0,   0.028,pymatching,70967e0c7b5df5b68e3ccb705ac062e3fa94b9fea8356a15bbd709442e7a156a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004563}"
       501,        78,         0,   0.012,pymatching,10913bb889b1f76a7b3b3fb7a52f0b9e9c58818792a912dcb7f81a1656949f62,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.005019}"
      2000,       282,         0,   0.030,pymatching,9a5e98cbec139bf8e416d08efd786fa272725962edb89fb7f059ff9d5870e856,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004791}"
       200,        35,         0,   0.009,pymatching,d1e19bdbeca15a1cc870275d48d9c388f473a5f5f3de817edf59e889064da1dc,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00345,""q"":0.005247}"
      1816,       243,         0,   0.028,pymatching,9a5e98cbec139bf8e416d08efd786fa272725962edb89fb7f059ff9d5870e856,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004791}"
        12,         1,         0,   0.007,pymatching,9a5e98cbec139bf8e416d08efd786fa272725962edb89fb7f059ff9d5870e856,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00315,""q"":0.004791}"
       131,        22,         0,   0.008,pymatching,10913bb889b1f76a7b3b3fb7a52f0b9e9c58818792a912dcb7f81a1656949f62,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0033,""q"":0.005019}"
       600,        99,         0,   0.014,pymatching,d1e19bdbeca15a1cc870275d48d9c388f473a5f5f3de817edf59e889064da1dc,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.00345,""q"":0.005247}"
