     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,   0.014,pymatching,50d7d3a4a52f42cdb2656c1bbe2a1e03c63dba9e99688b74d8620a433a9c0756,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2HoneycombCode"",""distance"":4,""layers"":4,""m"":0.008758,""p"":0.003,""q"":1e-06}"
       100,         1,         0,   0.005,pymatching,036fbdc7beccfbacb3480d8d0de432632cf67bcb67253b24ca4f9157c3eeff7e,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2HoneycombCode"",""distance"":4,""layers"":4,""m"":0.010218,""p"":0.0035,""q"":1e-06}"
       100,         4,         0,   0.005,pymatching,6bee847712eaf1d28facc92420337f04310391be2627c5384f08fa8cfaa9c6f9,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2HoneycombCode"",""distance"":4,""layers"":4,""m"":0.013137,""p"":0.0045,""q"":1e-06}"
       100,         4,         0,   0.005,pymatching,5fc7eb4f69943e6614f8bbd15bc78fa3549f01437f174b215fe9b69ae962572d,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2HoneycombCode"",""distance"":4,""layers"":4,""m"":0.014597,""p"":0.005,""q"":1e-06}"
       100,        13,         0,   0.006,pymatching,e88f0d001138d65b31330cbf1fb9de29a9e44016bfb8ac67676cfd8c5302734e,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2HoneycombCode"",""distance"":4,""layers"":4,""m"":0.018976,""p"":0.0065,""q"":2e-06}"
       100,         5,         0,   0.010,pymatching,fdf29316f07eb9d613006fa70ec087c436bbb79e63379e54659a6c35b6a2182b,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2HoneycombCode"",""distance"":4,""layers"":4,""m"":0.011678,""p"":0.004,""q"":1e-06}"
       100,         3,         0,   0.005,pymatching,905f0f086a18fc220fb6427e57e8cce17137b4bb8fbb32f0a132482a15f2043b,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2HoneycombCode"",""distance"":4,""layers"":4,""m"":0.016057,""p"":0.0055,""q"":2e-06}"
       100,        10,         0,   0.005,pymatching,d6386a9076d2ebc1e3a7e6fa7db53f32a74b8c2e18c852869028414532224077,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2HoneycombCode"",""distance"":4,""layers"":4,""m"":0.017517,""p"":0.006,""q"":2e-06}"
       100,        11,         0,   0.007,pymatching,98c51cc34f7086d893874eee82e3dd1ae499fb992558004268c92ececa66f9ad,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2HoneycombCode"",""distance"":4,""layers"":4,""m"":0.023356,""p"":0.008,""q"":2e-06}"
       100,        14,         0,   0.006,pymatching,42762e8abdc2c9e1640e201414d5ed630473c05c27bf14fcd4ac21f93319ae13,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2HoneycombCode"",""distance"":4,""layers"":4,""m"":0.021896,""p"":0.0075,""q"":2e-06}"
