     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,        25,         0,   0.070,pymatching,6b417ff0fbee06960b4edae935109db166ce8b8acf6da313f578313f45549704,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.068048,""p"":0.023,""q"":7e-06}"
       100,        10,         0,   0.083,pymatching,887afcd12d8e356d000207fe0a954f788ce7011014fc9766d79b41efd26adeaf,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.059172,""p"":0.02,""q"":6e-06}"
       100,        22,         0,   0.079,pymatching,a5249abe407ab982351240de085d52f4c8eb7d879812b19c721e6d50da4e2f80,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.065089,""p"":0.022,""q"":7e-06}"
       100,        15,         0,   0.099,pymatching,694121a2502ede72b711d9dd24a3813c48c50231998e5f738f6bacce907a076a,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.062131,""p"":0.021,""q"":6e-06}"
       100,        28,         0,   0.097,pymatching,2fda82bb5787270544654fa69e8ce718a64c9c532254710ddce962754b4d2362,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.076924,""p"":0.026,""q"":8e-06}"
       100,        28,         0,   0.097,pymatching,f06dbfebbcbcb73faf8daf6b6538205ecb2fdd6ae64fa6827a4cde233c1b9ba5,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.079882,""p"":0.027,""q"":8e-06}"
       100,        20,         0,   0.089,pymatching,ce758723e17df20b6dd19df77bac0071535f29b70d36b43074b87f7d99ed03cf,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.073965,""p"":0.025,""q"":7e-06}"
       100,        21,         0,   0.092,pymatching,cf677e67062b65c40ae74a8ca57a002ede9dec3a14de748e2c7b68589da76e44,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.071006,""p"":0.024,""q"":7e-06}"
       100,        22,         0,   0.039,pymatching,887afcd12d8e356d000207fe0a954f788ce7011014fc9766d79b41efd26adeaf,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.059172,""p"":0.02,""q"":6e-06}"
       100,        13,         0,   0.015,pymatching,694121a2502ede72b711d9dd24a3813c48c50231998e5f738f6bacce907a076a,"{""bias"":9999,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge2FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.062131,""p"":0.021,""q"":6e-06}"
