     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         1,         0,   0.168,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
       200,         5,         0,   0.312,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
       200,         6,         0,   0.272,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
       100,         2,         0,   0.244,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
       600,        19,         0,   0.732,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
        38,         1,         0,   0.087,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
         8,         0,         0,   0.079,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
       200,         6,         0,   0.388,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
       600,        21,         0,    1.09,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
        23,         0,         0,   0.090,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
       600,        11,         0,   0.691,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
        98,         3,         0,   0.193,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
      1000,        17,         0,    1.24,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
       406,        13,         0,   0.287,beliefmatching,6e90d88f676082563506e1e0fa764a0803247a8ea3ad9e98cdfe13c5bff579bd,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004,""p"":0.006,""q"":0.002}"
       100,         0,         0,   0.260,beliefmatching,2989f02edc311d5d47de2998b7e5461653e159932b063f23f355af27ee0661fb,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004667,""p"":0.007,""q"":0.002333}"
       200,         9,         0,   0.553,beliefmatching,2989f02edc311d5d47de2998b7e5461653e159932b063f23f355af27ee0661fb,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004667,""p"":0.007,""q"":0.002333}"
       200,         9,         0,   0.546,beliefmatching,2989f02edc311d5d47de2998b7e5461653e159932b063f23f355af27ee0661fb,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004667,""p"":0.007,""q"":0.002333}"
       100,         3,         0,   0.295,beliefmatching,2989f02edc311d5d47de2998b7e5461653e159932b063f23f355af27ee0661fb,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004667,""p"":0.007,""q"":0.002333}"
        98,         0,         0,   0.209,beliefmatching,2989f02edc311d5d47de2998b7e5461653e159932b063f23f355af27ee0661fb,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004667,""p"":0.007,""q"":0.002333}"
       600,        18,         0,    1.26,beliefmatching,2989f02edc311d5d47de2998b7e5461653e159932b063f23f355af27ee0661fb,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004667,""p"":0.007,""q"":0.002333}"
       600,        24,         0,    1.26,beliefmatching,2989f02edc311d5d47de2998b7e5461653e159932b063f23f355af27ee0661fb,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004667,""p"":0.007,""q"":0.002333}"
        72,         1,         0,   0.140,beliefmatching,2989f02edc311d5d47de2998b7e5461653e159932b063f23f355af27ee0661fb,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004667,""p"":0.007,""q"":0.002333}"
       459,        19,         0,   0.914,beliefmatching,2989f02edc311d5d47de2998b7e5461653e159932b063f23f355af27ee0661fb,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004667,""p"":0.007,""q"":0.002333}"
       915,        29,         0,    1.49,beliefmatching,2989f02edc311d5d47de2998b7e5461653e159932b063f23f355af27ee0661fb,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.004667,""p"":0.007,""q"":0.002333}"
       100,         3,         0,   0.244,beliefmatching,4a7d97f1fd49794648098a59fd9063291d180ebf3ad1f4350c6df1e86234fff3,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.005333,""p"":0.008,""q"":0.002667}"
       100,         1,         0,   0.266,beliefmatching,4a7d97f1fd49794648098a59fd9063291d180ebf3ad1f4350c6df1e86234fff3,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.005333,""p"":0.008,""q"":0.002667}"
       200,         6,         0,   0.415,beliefmatching,4a7d97f1fd49794648098a59fd9063291d180ebf3ad1f4350c6df1e86234fff3,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.005333,""p"":0.008,""q"":0.002667}"
       200,         6,         0,   0.470,beliefmatching,4a7d97f1fd49794648098a59fd9063291d180ebf3ad1f4350c6df1e86234fff3,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.005333,""p"":0.008,""q"":0.002667}"
       200,        10,         0,   0.464,beliefmatching,4a7d97f1fd49794648098a59fd9063291d180ebf3ad1f4350c6df1e86234fff3,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.005333,""p"":0.008,""q"":0.002667}"
       400,        20,         0,   0.865,beliefmatching,4a7d97f1fd49794648098a59fd9063291d180ebf3ad1f4350c6df1e86234fff3,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.005333,""p"":0.008,""q"":0.002667}"
       400,        25,         0,   0.799,beliefmatching,4a7d97f1fd49794648098a59fd9063291d180ebf3ad1f4350c6df1e86234fff3,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.005333,""p"":0.008,""q"":0.002667}"
       800,        42,         0,    1.49,beliefmatching,4a7d97f1fd49794648098a59fd9063291d180ebf3ad1f4350c6df1e86234fff3,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.005333,""p"":0.008,""q"":0.002667}"
      1200,        61,         0,    1.52,beliefmatching,4a7d97f1fd49794648098a59fd9063291d180ebf3ad1f4350c6df1e86234fff3,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.005333,""p"":0.008,""q"":0.002667}"
       100,         8,         0,   0.280,beliefmatching,323bf9e4e841042c2b63a702d1c20025bb866acb575f7fde408903fe7c1e553b,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.006,""p"":0.009,""q"":0.003}"
       200,        16,         0,   0.485,beliefmatching,323bf9e4e841042c2b63a702d1c20025bb866acb575f7fde408903fe7c1e553b,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.006,""p"":0.009,""q"":0.003}"
       200,        12,         0,   0.510,beliefmatching,323bf9e4e841042c2b63a702d1c20025bb866acb575f7fde408903fe7c1e553b,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.006,""p"":0.009,""q"":0.003}"
       100,         5,         0,   0.264,beliefmatching,323bf9e4e841042c2b63a702d1c20025bb866acb575f7fde408903fe7c1e553b,"{""bias"":0.5,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.006,""p"":0.009,""q"":0.003}"
