     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,    1.28,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
       100,         0,         0,    1.23,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
       200,         1,         0,    2.19,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
       200,         1,         0,    2.25,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
       200,         0,         0,    2.86,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
       400,         2,         0,    5.27,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
       400,         0,         0,    6.89,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
       800,         3,         0,    8.90,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
       400,         0,         0,    6.54,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
      1200,         3,         0,    16.1,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
      1200,         1,         0,    15.3,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
      2400,         5,         0,    21.7,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
      2400,        10,         0,    23.3,beliefmatching,5ae23f849079115555eef558b350bbb1a7ca0b090c27bf0675377ae512800ebd,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.006,""p"":0.006,""q"":0.0}"
       100,         0,         0,    1.65,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
       100,         1,         0,    1.70,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
       200,         2,         0,    2.00,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
       200,         2,         0,    2.69,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
       200,         1,         0,    2.83,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
       400,         3,         0,    4.93,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
       400,         1,         0,    6.32,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
       800,        10,         0,    10.4,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
       400,         1,         0,    5.88,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
      1200,         6,         0,    17.3,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
      1200,         6,         0,    16.2,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
      2400,        10,         0,    24.0,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
      2400,        16,         0,    23.2,beliefmatching,ce3ca7389b6593afdfd1f3b7ccd4ace8317394b3d786779134e74058749a7f70,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.007,""p"":0.007,""q"":0.0}"
       100,         0,         0,    1.35,beliefmatching,fa3aa428b86dc93a208c260ced1ffab12d8267e0dff9376e1812cb11c2bc4a63,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.009,""p"":0.009,""q"":0.0}"
       100,         3,         0,    1.17,beliefmatching,fa3aa428b86dc93a208c260ced1ffab12d8267e0dff9376e1812cb11c2bc4a63,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.009,""p"":0.009,""q"":0.0}"
       200,         6,         0,    2.33,beliefmatching,fa3aa428b86dc93a208c260ced1ffab12d8267e0dff9376e1812cb11c2bc4a63,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.009,""p"":0.009,""q"":0.0}"
       200,         4,         0,    2.39,beliefmatching,fa3aa428b86dc93a208c260ced1ffab12d8267e0dff9376e1812cb11c2bc4a63,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.009,""p"":0.009,""q"":0.0}"
       200,         2,         0,    2.84,beliefmatching,fa3aa428b86dc93a208c260ced1ffab12d8267e0dff9376e1812cb11c2bc4a63,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.009,""p"":0.009,""q"":0.0}"
       400,         6,         0,    6.13,beliefmatching,fa3aa428b86dc93a208c260ced1ffab12d8267e0dff9376e1812cb11c2bc4a63,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.009,""p"":0.009,""q"":0.0}"
       400,        10,         0,    7.68,beliefmatching,fa3aa428b86dc93a208c260ced1ffab12d8267e0dff9376e1812cb11c2bc4a63,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.009,""p"":0.009,""q"":0.0}"
       800,         6,         0,    9.99,beliefmatching,fa3aa428b86dc93a208c260ced1ffab12d8267e0dff9376e1812cb11c2bc4a63,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.009,""p"":0.009,""q"":0.0}"
      1200,        24,         0,    16.9,beliefmatching,fa3aa428b86dc93a208c260ced1ffab12d8267e0dff9376e1812cb11c2bc4a63,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.009,""p"":0.009,""q"":0.0}"
       885,        13,         0,    9.62,beliefmatching,fa3aa428b86dc93a208c260ced1ffab12d8267e0dff9376e1812cb11c2bc4a63,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.009,""p"":0.009,""q"":0.0}"
       822,        19,         0,    14.2,beliefmatching,fa3aa428b86dc93a208c260ced1ffab12d8267e0dff9376e1812cb11c2bc4a63,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.009,""p"":0.009,""q"":0.0}"
      1200,        30,         0,    19.0,beliefmatching,fa3aa428b86dc93a208c260ced1ffab12d8267e0dff9376e1812cb11c2bc4a63,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.009,""p"":0.009,""q"":0.0}"
       100,         2,         0,    1.61,beliefmatching,63f9ac11252cd9cf5ec125990ce0ddd35580797d249e5c66229d065f7cd2f96b,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.01,""p"":0.01,""q"":0.0}"
       100,         2,         0,    1.20,beliefmatching,63f9ac11252cd9cf5ec125990ce0ddd35580797d249e5c66229d065f7cd2f96b,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.01,""p"":0.01,""q"":0.0}"
       200,         3,         0,    2.35,beliefmatching,63f9ac11252cd9cf5ec125990ce0ddd35580797d249e5c66229d065f7cd2f96b,"{""bias"":9999,""bias_type"":""depolarizing_vs_y"",""bp_iters"":10,""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.01,""p"":0.01,""q"":0.0}"
