     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         7,         0,   0.082,beliefmatching,368c7ddabba1d7febcb84a1d224a93a25d6ef4b5b0133afcffdb1d951ade0530,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.01964,""p"":0.007,""q"":0.000153}"
       100,        13,         0,   0.090,beliefmatching,b1f63737b8c44e2373e97937d628b5021b5d46a426ea158212709160faaf3d5c,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.026373,""p"":0.0094,""q"":0.000206}"
       100,        20,         0,   0.090,beliefmatching,9c74cbaeebc02e2ce6428c3ee68197e191682c7aea7cb8e84bb51b1e2b18c158,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.024129,""p"":0.0086,""q"":0.000189}"
       100,        11,         0,   0.096,beliefmatching,6dff9c276221115a822d01c1a0c80c96405b6a98c455c361d6ef36ad8d8505f2,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.021884,""p"":0.0078,""q"":0.000171}"
       100,        18,         0,   0.108,beliefmatching,57e8617573a6792fb89e1ed4cd501bddb65511dddcd17fbb18f5b52e4dbef911,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.030863,""p"":0.011,""q"":0.000241}"
       100,        23,         0,   0.112,beliefmatching,3a1b2c65ec6659702e303b1883f9c932a5e4fd744c1efdba00ee4501c20d831f,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.028618,""p"":0.0102,""q"":0.000224}"
       100,         9,         0,   0.085,beliefmatching,368c7ddabba1d7febcb84a1d224a93a25d6ef4b5b0133afcffdb1d951ade0530,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.01964,""p"":0.007,""q"":0.000153}"
       100,         8,         0,   0.096,beliefmatching,6dff9c276221115a822d01c1a0c80c96405b6a98c455c361d6ef36ad8d8505f2,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.021884,""p"":0.0078,""q"":0.000171}"
       200,        11,         0,   0.149,beliefmatching,368c7ddabba1d7febcb84a1d224a93a25d6ef4b5b0133afcffdb1d951ade0530,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.01964,""p"":0.007,""q"":0.000153}"
       200,        17,         0,   0.162,beliefmatching,368c7ddabba1d7febcb84a1d224a93a25d6ef4b5b0133afcffdb1d951ade0530,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.01964,""p"":0.007,""q"":0.000153}"
