     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         2,         0,   0.268,beliefmatching,6b958ea0fb6ccba6806aabde3b3a47f4f53edef8229bdb09b36dab93b5ea4d8b,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge5FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.001,""q"":0.001508}"
       100,         9,         0,   0.412,beliefmatching,809ec294c3a57d5880e1f05671ba07294614b26961d3d35cd4f4afdc071f3d8f,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge5FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.001778,""q"":0.002681}"
       100,        12,         0,   0.598,beliefmatching,a92b99bc8a068cb79665b0e0656563316104169fc03844a9b0cfa339c1ed0ed7,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge5FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.002556,""q"":0.003855}"
       100,        17,         0,   0.669,beliefmatching,e0fd4496edca4f01af7e3b91f239c10d245894e72427859961276bebaac081d4,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge5FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003333,""q"":0.005028}"
       100,        39,         0,   0.683,beliefmatching,004dcc1c908e3cd11b3ce98c87f1daebaa158074dc55545a1db0c06e913a538e,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge5FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.005667,""q"":0.008547}"
       100,        46,         0,   0.692,beliefmatching,04ba8f47d5c01de83890c6c6a477086f9828e87af24c7c5cb835d7d8aae30984,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge5FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.008,""q"":0.012067}"
       100,        29,         0,   0.697,beliefmatching,f9df50d791bd2674d09609ee8dbc373b8f94a267da7ed2ceb55fa82320a154f7,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge5FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.004111,""q"":0.006201}"
       100,        45,         0,   0.708,beliefmatching,cbad6acad01d1d5bff83476f701a051a104bc7d852b062e4ae91d301006da19f,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge5FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.007222,""q"":0.010894}"
       100,        43,         0,   0.710,beliefmatching,da1067144df8cae0c2ad09040d4eef09d257a00a77ff04ae4c11c67de4af3afa,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge5FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.006444,""q"":0.00972}"
       100,        31,         0,   0.725,beliefmatching,99681badde0ea5abf1989df5a626dc1de3d46af432e2ca1ea526f0e3e9da9c62,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge5FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.004889,""q"":0.007374}"
