     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         3,         0,   0.002,pymatching,6fc88cfc15610f839aeb2b14d242f840ed8da7ab9dc0ad23fa69311853b04749,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.005611,""p"":0.002,""q"":4.4e-05}"
       100,        33,         0,   0.003,pymatching,fedb188374e9c8b0222dbe11e3f2646e2c779ce92f122eb81e837231915dd23a,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.022846,""p"":0.008143,""q"":0.000178}"
       100,        51,         0,   0.004,pymatching,e6f5ed64cd6e47965391d2fe61d87a09b0744f7b66cb79687bd9c18fb1a4f381,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.040081,""p"":0.014286,""q"":0.000313}"
       100,        48,         0,   0.004,pymatching,8e501725cb29cdebf768b5870c66523a74554ed42bfe0a25801369ce4a18d34c,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.057316,""p"":0.020429,""q"":0.000448}"
       100,        55,         0,   0.005,pymatching,ae6e77b4997360dfb75dbbbb6142ddfce2b2269598fb32cf9dc66e0f04d6f613,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.074551,""p"":0.026571,""q"":0.000582}"
       100,        55,         0,   0.005,pymatching,3a4bd5d623fe9b838083655d6f4df3ceb2cde2a2d21bcf4cc080376acc2ea6d8,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.091786,""p"":0.032714,""q"":0.000717}"
       100,        48,         0,   0.006,pymatching,7f107e427b1c8ef577fca906ff37b6197fccb0cd10128c10a188fce09ec99350,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.126256,""p"":0.045,""q"":0.000986}"
       100,        47,         0,   0.006,pymatching,efab0ea7f9ee92e4d7bc8ebe84e69fc68f1243d8f9f988a08dc574e144c2904f,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.109021,""p"":0.038857,""q"":0.000852}"
       100,        59,         0,   0.031,pymatching,b6b34b091c13d1c48424247a709bd439611218ed3a08ada87ff2a5b1b1b60879,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":8,""layers"":16,""m"":0.023426,""p"":0.008143,""q"":0.000183}"
       200,         4,         0,   0.002,pymatching,6fc88cfc15610f839aeb2b14d242f840ed8da7ab9dc0ad23fa69311853b04749,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.005611,""p"":0.002,""q"":4.4e-05}"
       100,         3,         0,   0.002,pymatching,6fc88cfc15610f839aeb2b14d242f840ed8da7ab9dc0ad23fa69311853b04749,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.005611,""p"":0.002,""q"":4.4e-05}"
       100,        36,         0,   0.003,pymatching,fedb188374e9c8b0222dbe11e3f2646e2c779ce92f122eb81e837231915dd23a,"{""bias"":128,""bias_type"":""measurement_vs_data_qubit"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.022846,""p"":0.008143,""q"":0.000178}"
