     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,   0.020,pymatching,a13ef9eabd7be1d8d4606517ca8b1685e18db00f8260212ba9f1990d4fbaa944,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
       100,         0,         0,   0.020,pymatching,ae0e162130fd152abe23aeab1f608d8649e6267719f2954bb25762207a99a3b6,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.002867,""p"":0.002867,""q"":0.0}"
       100,         0,         0,   0.020,pymatching,51f013bd9970314aff55526b3986b05e0db6ab7559f97c594632d61c39032bb4,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001933,""p"":0.001933,""q"":0.0}"
       100,         7,         0,   0.020,pymatching,e2cd408b349686f4f5f89a0c9edccf0f3cb21b519df1da576d2039e2ea359f27,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.005667,""p"":0.005667,""q"":0.0}"
       100,         7,         0,   0.020,pymatching,e28d0cd77fb939122af7737d316701e89478f95f68d80f7f365fe29722ae3ad9,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.010333,""p"":0.010333,""q"":0.0}"
       100,         0,         0,   0.020,pymatching,1a4ef0365aa108cc448f733bbf5570b18ec704dea4be617708825bbde2986632,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0066,""p"":0.0066,""q"":0.0}"
       100,         2,         0,   0.021,pymatching,3f8a41368b54f931ac72ed4caa7b6d56c3190f742017ea6fa3ef9116cff55d0f,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.007533,""p"":0.007533,""q"":0.0}"
       100,         8,         0,   0.021,pymatching,4de41a86d74934114de883f7bc5c2b2f8aed894da2a1da59fe5d32b0590033a1,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0094,""p"":0.0094,""q"":0.0}"
       100,         6,         0,   0.020,pymatching,22e3d70acbb007f3e68aed6210fded509bafd607ed29136ca6235dbbb77b300c,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.013133,""p"":0.013133,""q"":0.0}"
       100,         0,         0,   0.021,pymatching,ab3337aa517ef871da33c70601d0569f6eb4441b2d075ca5f4d161b688da27e6,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
