     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,        19,         0,   0.021,pymatching,73834d7b72d2b145dc8d69a5e31305b5c7076bf6a727591beb3aba946816af20,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.015,""p"":0.015,""q"":0.0}"
       100,        10,         0,   0.003,pymatching,0ec49ae138703ae8cc58f89cc1c8b153531e5a718f0271dd8a47b2291aea23f0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0156,""p"":0.0156,""q"":0.0}"
       100,        12,         0,   0.003,pymatching,09bfe3a1f5ac2ab7bad13d815f901528dc7a9c87873937d8042a14c38ba9294c,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0162,""p"":0.0162,""q"":0.0}"
       100,        12,         0,   0.003,pymatching,075f147ee0bdd14d6b38b4cf9ecda03ddd7360d523a1ee54ab28f6bd95cbce08,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0168,""p"":0.0168,""q"":0.0}"
       100,        11,         0,   0.009,pymatching,8fbf203f9c956cc16cce05466fe5de8e024beac670ca58976cd1e3eafeb13b19,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0174,""p"":0.0174,""q"":0.0}"
       100,        16,         0,   0.019,pymatching,46cb7e37e916fa282b29fc2db3f2db41abeeec4a81c9a6c842a497dddb55ee5c,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":8,""layers"":8,""m"":0.0156,""p"":0.0156,""q"":0.0}"
       100,        12,         0,   0.003,pymatching,3a9d206407b911f5db87f95ab147f98a57c8958072bc610919a258972d95b351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.018,""p"":0.018,""q"":0.0}"
       100,        12,         0,   0.029,pymatching,56ba6f9a69141dd0bb638265b344c6b6c9ae940e8d7722b9ea2c91e443798a1d,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":8,""layers"":8,""m"":0.015,""p"":0.015,""q"":0.0}"
       100,        13,         0,   0.019,pymatching,b76835b28740401a3c6b6a2acbc2170fd9a7fa04baa3a38f68add3ae7418610a,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":8,""layers"":8,""m"":0.0162,""p"":0.0162,""q"":0.0}"
       100,        22,         0,   0.032,pymatching,4f68a76a37d8e9608e5f24f40c18869aaadd868e1a7a07d4e8d256c6eda2dadf,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":8,""layers"":8,""m"":0.0174,""p"":0.0174,""q"":0.0}"
