     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,        19,         0,   0.111,pymatching,b0a94e930f5a46ee64b758100c562025b980a7db37368b10b8f111160a8c58d0,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0044,""q"":0.006661}"
       100,        40,         0,   0.111,pymatching,83da1b35f56b882e551611a329d55645bd0baabe6b9a4020f36ea09e4f56cfb5,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.006733,""q"":0.010194}"
       100,        39,         0,   0.111,pymatching,72f364d1545c765d0688d40bbbe568fa79631c6eba2b4c11878e6481a548483d,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0072,""q"":0.0109}"
       100,        12,         0,   0.112,pymatching,d4657423f965567d9df8a02c456d7b27ef13e61528ada38cef31ed6f66548f40,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003,""q"":0.004542}"
       100,        31,         0,   0.113,pymatching,98a6af346fafce5a695de071bcbb60ad21af64499a467aa95ce3e386fd18496a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003933,""q"":0.005955}"
       100,        19,         0,   0.111,pymatching,6c58a5763e92603f75dbae2ef9ba2d78e2dca76dab35c23079dde43d276de638,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.003467,""q"":0.005248}"
       100,        22,         0,   0.113,pymatching,2a58338ec79f147d9f37592168a64ef901aabec100f461f4165136f203f6fdc1,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.004867,""q"":0.007368}"
       100,        20,         0,   0.115,pymatching,f758d7d5c74c33269bde24e18fd57496b5def222530f9c5aed138388d92493db,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.005333,""q"":0.008074}"
       100,        37,         0,   0.115,pymatching,66bcff42abd1316bb1d137b8a1ec786d8378ca622aeba634cfa8daf76a820d24,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.006267,""q"":0.009487}"
       100,        41,         0,   0.115,pymatching,31750fa0f59ae78a5efedc6807ccd207a38df2700470e797b2840f3574eb1bd3,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.0058,""q"":0.008781}"
