     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         0,         0,   0.497,pymatching,1d983939f6b96e221c2d79a613260a27f222f9455390f9942241de4b5eb26bf0,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":12,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":4,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
       100,         0,         0,   0.666,pymatching,0735a50ae24bd71c9e5c7303ce64f2223b1370adbae88e58e51c41acd2c5fc4c,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":16,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":4,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
       200,         0,         0,   0.169,pymatching,1d983939f6b96e221c2d79a613260a27f222f9455390f9942241de4b5eb26bf0,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":12,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":4,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
       200,         0,         0,   0.057,pymatching,1d983939f6b96e221c2d79a613260a27f222f9455390f9942241de4b5eb26bf0,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":12,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":4,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
       100,         0,         0,   0.752,pymatching,a752e3acfd8258ff59b346f793aeeb54a29c4fa4b23309fc45acac602876faa2,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":4,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":12,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
       100,         0,         0,   0.732,pymatching,ddd90a643f503678b1bac8b5b0c032ea7174b7f5b17095f07d8534df3672cbdb,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":12,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":8,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
       600,         0,         0,   0.073,pymatching,1d983939f6b96e221c2d79a613260a27f222f9455390f9942241de4b5eb26bf0,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":12,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":4,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
       300,         0,         0,   0.042,pymatching,1d983939f6b96e221c2d79a613260a27f222f9455390f9942241de4b5eb26bf0,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":12,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":4,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
      1000,         0,         0,   0.025,pymatching,1d983939f6b96e221c2d79a613260a27f222f9455390f9942241de4b5eb26bf0,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":12,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":4,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
       200,         0,         0,   0.055,pymatching,ddd90a643f503678b1bac8b5b0c032ea7174b7f5b17095f07d8534df3672cbdb,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":12,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":8,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
       100,         0,         0,   0.857,pymatching,e2b31b5cc8ec94d3afa4c1befe50f816605b26301e19e24c9ec3c173b747cfa2,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":4,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":16,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
      2200,         0,         0,   0.133,pymatching,1d983939f6b96e221c2d79a613260a27f222f9455390f9942241de4b5eb26bf0,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":12,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":4,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
       100,         0,         0,   0.904,pymatching,9239d38171edcdd3e800922531c1455bfd3345db7e359e3babf801610d554720,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":12,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":12,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
      2800,         0,         0,   0.181,pymatching,1d983939f6b96e221c2d79a613260a27f222f9455390f9942241de4b5eb26bf0,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":12,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":4,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
      1600,         0,         0,   0.168,pymatching,1d983939f6b96e221c2d79a613260a27f222f9455390f9942241de4b5eb26bf0,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":12,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":4,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
       100,         0,         0,   0.675,pymatching,a98d764ebc500af575a47b604e5d0ea97dc24b9ad90d583442880a49a9a7945f,"{""code_name"":""GaugeFloquetColourCode"",""d_x"":16,""d_z"":8,""gf_0"":1,""gf_1"":1,""gf_2"":0,""h"":8,""logical_observable"":""memory_x"",""noise_model"":""circuit_level_noise""}",
